lora_r,lora_alpha,lora_dropout,learning_rate,use_ffn,mae,rankic
4,8,0.1,5e-05,0,2.242949549461083,0.00320148995854068
8,8,0.0,0.0003,1,2.1456353311734166,-0.00017658843792304994
4,8,0.0,5e-05,0,2.172938644094163,0.02015911248055893
4,16,0.2,5e-05,1,2.1897948427400165,-0.004484153709362051
16,8,0.05,0.0003,1,2.1590069632402824,-0.004943418280583251
16,32,0.05,5e-05,1,2.247360253186174,-0.003991005371292173
4,8,0.2,5e-05,1,2.184730700503202,0.02186688709479731
16,32,0.0,0.0003,1,2.1977930815114233,0.005044889690056305
4,64,0.0,0.0003,1,2.2144257332955326,-0.00099506486415082
16,16,0.0,5e-05,0,2.179322995116851,0.018654020819578756
16,8,0.05,5e-05,1,2.1745360945274257,0.010648545422919138
16,64,0.1,5e-05,1,2.210265494866652,-0.015105109304846735
16,16,0.1,0.0003,0,2.1669484335236397,0.02675766400531802
8,16,0.05,0.0001,1,2.1850692070803923,-0.003818888454309499
16,16,0.1,5e-05,0,2.1849017687018715,-0.025268407566385556
4,32,0.2,0.0001,0,2.1503766706892375,0.021195488044424803
8,32,0.05,0.0003,1,2.1772107831651386,0.018284557357812398
32,64,0.05,0.0001,0,2.1979757451908557,-0.009438000797654987
8,32,0.2,0.0003,1,2.1664183439267384,0.007453038864347701
16,16,0.05,0.0003,1,2.1466411324874852,0.014498158563677283
4,8,0.0,5e-05,0,2.1562897546755453,0.0006962676471555712
32,8,0.2,0.0001,1,2.1660489323349092,0.02427952484987147
16,8,0.0,0.0003,1,2.2356604617719853,-0.005197681263313364
16,8,0.1,0.0001,0,2.142204148482137,0.025445076918346257
32,8,0.1,0.0003,0,2.145738882102756,0.012792441822065223
4,32,0.05,5e-05,1,2.2198367614330903,-0.0038963045864497457
8,8,0.1,0.0001,0,2.2005445043511536,-0.0006681430648389488
4,32,0.1,5e-05,0,2.1916286206833693,0.0005529637490409517
8,8,0.0,0.0003,1,2.172205433996238,0.019113096394160412
4,16,0.05,0.0003,1,2.0914579593138662,0.024995665807470785
8,32,0.2,5e-05,0,2.1930949008683656,-0.001013892401872761
16,64,0.1,0.0001,1,2.141706027177444,-0.0028105388279010047
4,16,0.05,5e-05,1,2.1931203636446424,0.012262667386784878
4,16,0.05,5e-05,0,2.1841532905461096,-0.009215697742961252
4,16,0.0,5e-05,1,2.1732725317111203,0.018313345120533033
4,16,0.1,0.0003,1,2.1265817521737023,-0.009402801457125761
8,16,0.2,5e-05,1,2.2619560320230967,-0.019070777505862915
32,16,0.0,5e-05,1,2.177441049933989,-0.013529304466469069
16,64,0.2,0.0001,0,2.2149461467090306,-0.027031893561883468
4,8,0.2,0.0003,1,2.171913834139237,-0.00884122152481578
4,16,0.05,5e-05,1,2.1639533305262817,-0.0016878642202169608
8,64,0.05,0.0001,1,2.2082890940714233,-0.007556007212874073
8,8,0.2,0.0003,0,2.1839021347803222,-0.008953759584197696
4,8,0.0,5e-05,0,2.1592647458342302,-0.011895862185212332
32,64,0.2,5e-05,1,2.1971747620149102,-0.006098637205155856
4,16,0.2,5e-05,1,2.194147403729412,0.013897941474179052
16,64,0.1,0.0001,1,2.1875039790237354,0.019856750769050927
8,16,0.1,5e-05,0,2.228822343921662,-0.03274877102435295
4,32,0.0,5e-05,1,2.216781313580158,-0.0013883497179923608
8,8,0.0,5e-05,0,2.221489174384814,0.0015489874518000934
4,16,0.2,5e-05,0,2.150160044917113,0.0033665713787189356
4,8,0.2,0.0003,1,2.1801087312364813,-0.005075556159595225
16,16,0.1,5e-05,1,2.215844598767027,-0.011412782229132487
32,16,0.1,0.0001,1,2.218513206033846,-0.004400125800714833
4,8,0.2,0.0003,0,2.156037175846842,0.030451165287939525
4,16,0.1,5e-05,1,2.1116382995972156,-0.007777860667528032
4,16,0.1,0.0001,0,2.1497858149634563,-0.009572639654483317
32,32,0.0,0.0003,1,2.1764432542604086,0.0011081918517930288
4,16,0.1,5e-05,0,2.1805208369463975,-0.0056746670763436185
8,32,0.1,0.0003,0,2.147254390008718,0.015652228034059867
