datetime,open,high,low,close,volume,avg_price
2020-01-01 00:00:00,41.88,41.88,41.88,41.88,37334.25,41.88
2020-01-01 01:00:00,38.6,38.6,38.6,38.6,35991.0,38.6
2020-01-01 02:00:00,36.55,36.55,36.55,36.55,34458.0,36.55
2020-01-01 03:00:00,32.32,32.32,32.32,32.32,33152.0,32.32
2020-01-01 04:00:00,30.85,30.85,30.85,30.85,32930.75,30.85
2020-01-01 05:00:00,30.14,30.14,30.14,30.14,32710.5,30.14
2020-01-01 06:00:00,30.17,30.17,30.17,30.17,31870.75,30.17
2020-01-01 07:00:00,30.0,30.0,30.0,30.0,32491.5,30.0
2020-01-01 08:00:00,30.65,30.65,30.65,30.65,32915.25,30.65
2020-01-01 09:00:00,30.65,30.65,30.65,30.65,32406.0,30.65
2020-01-01 10:00:00,30.27,30.27,30.27,30.27,31067.75,30.27
2020-01-01 11:00:00,30.34,30.34,30.34,30.34,30285.25,30.34
2020-01-01 12:00:00,30.99,30.99,30.99,30.99,30070.0,30.99
2020-01-01 13:00:00,30.04,30.04,30.04,30.04,30376.5,30.04
2020-01-01 14:00:00,30.75,30.75,30.75,30.75,32326.0,30.75
2020-01-01 15:00:00,32.11,32.11,32.11,32.11,37058.75,32.11
2020-01-01 16:00:00,35.98,35.98,35.98,35.98,41040.75,35.98
2020-01-01 17:00:00,40.4,40.4,40.4,40.4,43126.0,40.4
2020-01-01 18:00:00,44.05,44.05,44.05,44.05,42083.0,44.05
2020-01-01 19:00:00,43.15,43.15,43.15,43.15,39691.75,43.15
2020-01-01 20:00:00,43.45,43.45,43.45,43.45,37146.0,43.45
2020-01-01 21:00:00,40.68,40.68,40.68,40.68,35581.75,40.68
2020-01-01 22:00:00,40.27,40.27,40.27,40.27,35935.25,40.27
2020-01-01 23:00:00,34.85,34.85,34.85,34.85,33537.5,34.85
2020-01-02 00:00:00,35.4,35.4,35.4,35.4,32077.75,35.4
2020-01-02 01:00:00,31.98,31.98,31.98,31.98,30979.0,31.98
2020-01-02 02:00:00,30.5,30.5,30.5,30.5,30380.0,30.5
2020-01-02 03:00:00,28.79,28.79,28.79,28.79,30817.75,28.79
2020-01-02 04:00:00,28.42,28.42,28.42,28.42,31947.5,28.42
2020-01-02 05:00:00,28.75,28.75,28.75,28.75,33784.5,28.75
2020-01-02 06:00:00,34.16,34.16,34.16,34.16,37114.25,34.16
2020-01-02 07:00:00,42.07,42.07,42.07,42.07,41271.0,42.07
2020-01-02 08:00:00,44.89,44.89,44.89,44.89,44078.5,44.89
2020-01-02 09:00:00,45.26,45.26,45.26,45.26,42785.75,45.26
2020-01-02 10:00:00,45.57,45.57,45.57,45.57,40886.25,45.57
2020-01-02 11:00:00,45.09,45.09,45.09,45.09,40216.5,45.09
2020-01-02 12:00:00,45.16,45.16,45.16,45.16,40755.75,45.16
2020-01-02 13:00:00,44.9,44.9,44.9,44.9,41278.75,44.9
2020-01-02 14:00:00,44.06,44.06,44.06,44.06,42109.0,44.06
2020-01-02 15:00:00,44.84,44.84,44.84,44.84,44099.75,44.84
2020-01-02 16:00:00,44.4,44.4,44.4,44.4,45703.5,44.4
2020-01-02 17:00:00,46.05,46.05,46.05,46.05,46423.75,46.05
2020-01-02 18:00:00,46.72,46.72,46.72,46.72,44344.5,46.72
2020-01-02 19:00:00,45.26,45.26,45.26,45.26,41802.0,45.26
2020-01-02 20:00:00,39.32,39.32,39.32,39.32,37291.0,39.32
2020-01-02 21:00:00,34.06,34.06,34.06,34.06,33575.5,34.06
2020-01-02 22:00:00,32.22,32.22,32.22,32.22,31475.75,32.22
2020-01-02 23:00:00,24.99,24.99,24.99,24.99,27705.75,24.99
2020-01-03 00:00:00,21.47,21.47,21.47,21.47,23569.5,21.47
2020-01-03 01:00:00,13.04,13.04,13.04,13.04,20764.75,13.04
2020-01-03 02:00:00,1.53,1.53,1.53,1.53,19152.25,1.53
2020-01-03 03:00:00,0.14,0.14,0.14,0.14,18112.5,0.14
2020-01-03 04:00:00,0.85,0.85,0.85,0.85,17741.75,0.85
2020-01-03 05:00:00,9.92,9.92,9.92,9.92,18869.0,9.92
2020-01-03 06:00:00,24.48,24.48,24.48,24.48,21068.75,24.48
2020-01-03 07:00:00,26.68,26.68,26.68,26.68,24528.5,26.68
2020-01-03 08:00:00,28.81,28.81,28.81,28.81,27233.5,28.81
2020-01-03 09:00:00,29.28,29.28,29.28,29.28,28201.75,29.28
2020-01-03 10:00:00,28.85,28.85,28.85,28.85,27953.0,28.85
2020-01-03 11:00:00,31.8,31.8,31.8,31.8,28397.5,31.8
2020-01-03 12:00:00,37.94,37.94,37.94,37.94,29872.75,37.94
2020-01-03 13:00:00,37.9,37.9,37.9,37.9,29379.5,37.9
2020-01-03 14:00:00,38.11,38.11,38.11,38.11,29045.75,38.11
2020-01-03 15:00:00,37.91,37.91,37.91,37.91,29624.25,37.91
2020-01-03 16:00:00,38.44,38.44,38.44,38.44,29747.5,38.44
2020-01-03 17:00:00,40.47,40.47,40.47,40.47,31099.0,40.47
2020-01-03 18:00:00,41.35,41.35,41.35,41.35,29731.25,41.35
2020-01-03 19:00:00,33.37,33.37,33.37,33.37,28276.25,33.37
2020-01-03 20:00:00,28.89,28.89,28.89,28.89,25409.25,28.89
2020-01-03 21:00:00,27.7,27.7,27.7,27.7,22921.25,27.7
2020-01-03 22:00:00,25.7,25.7,25.7,25.7,21891.5,25.7
2020-01-03 23:00:00,22.04,22.04,22.04,22.04,19436.5,22.04
2020-01-04 00:00:00,22.9,22.9,22.9,22.9,17408.25,22.9
2020-01-04 01:00:00,15.95,15.95,15.95,15.95,16274.0,15.95
2020-01-04 02:00:00,16.63,16.63,16.63,16.63,16588.5,16.63
2020-01-04 03:00:00,6.45,6.45,6.45,6.45,16508.0,6.45
2020-01-04 04:00:00,3.83,3.83,3.83,3.83,16002.25,3.83
2020-01-04 05:00:00,0.12,0.12,0.12,0.12,14777.75,0.12
2020-01-04 06:00:00,0.07,0.07,0.07,0.07,13123.75,0.07
2020-01-04 07:00:00,19.07,19.07,19.07,19.07,15080.5,19.07
2020-01-04 08:00:00,17.49,17.49,17.49,17.49,17128.0,17.49
2020-01-04 09:00:00,23.98,23.98,23.98,23.98,18183.75,23.98
2020-01-04 10:00:00,8.8,8.8,8.8,8.8,18896.25,8.8
2020-01-04 11:00:00,17.95,17.95,17.95,17.95,18894.75,17.95
2020-01-04 12:00:00,19.5,19.5,19.5,19.5,18921.25,19.5
2020-01-04 13:00:00,13.74,13.74,13.74,13.74,18348.25,13.74
2020-01-04 14:00:00,17.42,17.42,17.42,17.42,18849.0,17.42
2020-01-04 15:00:00,20.38,20.38,20.38,20.38,20723.0,20.38
2020-01-04 16:00:00,25.08,25.08,25.08,25.08,22962.0,25.08
2020-01-04 17:00:00,28.88,28.88,28.88,28.88,26972.0,28.88
2020-01-04 18:00:00,32.02,32.02,32.02,32.02,29035.0,32.02
