datetime,Open,High,Low,Close,Adj Close,Volume
2010-06-02 00:00:00+00:00,50.97,51.23,50.64,51.18,25.59,13400
2010-06-03 00:00:00+00:00,51.43,51.83,50.84,51.66,25.83,33400
2010-06-04 00:00:00+00:00,50.49,50.49,49.34,49.4,24.7,6000
2010-06-07 00:00:00+00:00,49.6,49.97,49.13,49.59,24.795,14500
2010-06-08 00:00:00+00:00,49.39,49.7,49.19,49.38,24.69,32700
2010-06-09 00:00:00+00:00,50.76,51.031,50.58,50.66,25.33,8700
2010-06-10 00:00:00+00:00,51.4,51.747,51.25,51.747,25.8735,10800
2010-06-11 00:00:00+00:00,51.07,51.13,50.62,51.12,25.56,27300
2010-06-14 00:00:00+00:00,51.97,51.98,51.28,51.28,25.64,10600
2010-06-15 00:00:00+00:00,52.24,52.35,52.24,52.32,26.16,4000
2010-06-16 00:00:00+00:00,52.55,53.37,52.55,53.28,26.64,2700
2010-06-17 00:00:00+00:00,53.49,53.69,53.4,53.43,26.715,19700
2010-06-18 00:00:00+00:00,53.3,53.3,53.3,53.3,26.65,2000
2010-06-21 00:00:00+00:00,53.96,53.96,52.96,53.28,26.64,19200
2010-06-22 00:00:00+00:00,53.4,53.72,52.9,52.9,26.45,16600
2010-06-23 00:00:00+00:00,52.38,52.38,51.51,51.64,25.82,59900
2010-06-24 00:00:00+00:00,51.57,51.94,51.57,51.79,25.895,29900
2010-06-25 00:00:00+00:00,52.13,53.28,52.1,53.15,26.575,46100
2010-06-28 00:00:00+00:00,52.61,52.61,52.5,52.61,26.305,10400
2010-06-29 00:00:00+00:00,51.23,51.23,50.85,50.85,25.425,6200
2010-06-30 00:00:00+00:00,51.2,51.54,50.37,50.98,25.49,13200
2010-07-01 00:00:00+00:00,49.94,49.94,48.62,49.08,24.54,3300
2010-07-02 00:00:00+00:00,48.76,48.76,48.76,48.76,24.38,300
2010-07-06 00:00:00+00:00,48.66,48.66,48.66,48.66,24.33,3900
2010-07-07 00:00:00+00:00,49.43,49.95,49.43,49.95,24.975,3800
2010-07-08 00:00:00+00:00,51.07,51.07,50.4,50.88,25.44,38500
2010-07-09 00:00:00+00:00,51.28,51.43,50.61,50.86,25.43,49100
2010-07-12 00:00:00+00:00,50.82,50.82,50.24,50.63,25.315,47800
2010-07-13 00:00:00+00:00,51.653,51.95,51.653,51.89,25.945,3400
2010-07-14 00:00:00+00:00,51.86,52.29,51.75,51.82,25.91,12000
2010-07-15 00:00:00+00:00,51.93,51.93,50.87,51.3,25.65,7900
2010-07-16 00:00:00+00:00,50.89,51.08,50.62,50.62,25.31,20400
2010-07-19 00:00:00+00:00,51.95,51.95,51.23,51.23,25.615,2800
2010-07-20 00:00:00+00:00,50.8632,51.75,50.76,51.54,25.77,24300
2010-07-21 00:00:00+00:00,51.42,51.42,50.88,51.15,25.575,16500
2010-07-22 00:00:00+00:00,51.97,52.66,51.93,52.61,26.305,71000
2010-07-23 00:00:00+00:00,52.11,52.58,52.1,52.56,26.28,12800
2010-07-26 00:00:00+00:00,52.19,52.51,52.19,52.42,26.21,21500
2010-07-27 00:00:00+00:00,51.86,51.86,51.08,51.55,25.775,52800
2010-07-28 00:00:00+00:00,51.47,51.47,51.3,51.3,25.65,3000
2010-07-29 00:00:00+00:00,51.9,52.84,51.9,52.49,26.245,77700
2010-07-30 00:00:00+00:00,51.85,52.92,51.85,52.92,26.46,2600
2010-08-02 00:00:00+00:00,54.27,54.74,54.27,54.66,27.33,5800
2010-08-03 00:00:00+00:00,54.66,54.66,54.66,54.66,27.33,0
2010-08-04 00:00:00+00:00,55.69,55.69,55.37,55.59,27.795,3000
2010-08-05 00:00:00+00:00,55.32,55.32,55.32,55.32,27.66,1400
2010-08-06 00:00:00+00:00,54.73,55.28,54.09,54.52,27.26,54300
2010-08-09 00:00:00+00:00,54.67,54.87,54.67,54.77,27.385,4700
2010-08-10 00:00:00+00:00,53.58,53.95,53.49,53.95,26.975,21100
2010-08-11 00:00:00+00:00,53.1,53.15,52.5,52.54,26.27,13700
2010-08-12 00:00:00+00:00,51.66,51.83,51.16,51.16,25.58,16000
2010-08-13 00:00:00+00:00,51.0,51.1,50.73,51.1,25.55,17300
2010-08-16 00:00:00+00:00,50.77,50.8,50.71,50.8,25.4,6200
2010-08-17 00:00:00+00:00,52.11,52.28,51.89,51.89,25.945,10900
2010-08-18 00:00:00+00:00,51.12,51.71,50.85,51.68,25.84,64500
2010-08-19 00:00:00+00:00,51.19,51.19,50.68,50.81,25.405,33700
2010-08-20 00:00:00+00:00,50.4,50.4,50.06,50.12,25.06,7300
2010-08-23 00:00:00+00:00,49.78,49.78,49.58,49.58,24.79,15600
2010-08-24 00:00:00+00:00,48.93,48.93,48.68,48.68,24.34,11400
2010-08-25 00:00:00+00:00,48.71,49.53,48.68,49.53,24.765,22000
2010-08-26 00:00:00+00:00,50.7,50.7,50.7,50.7,25.35,1500
2010-08-27 00:00:00+00:00,50.63,51.57,50.56,51.57,25.785,90900
2010-08-30 00:00:00+00:00,51.46,51.74,51.34,51.74,25.87,28000
2010-08-31 00:00:00+00:00,51.51,51.68,50.2,50.2,25.1,35300
2010-09-01 00:00:00+00:00,51.52,51.58,51.27,51.5,25.75,54800
2010-09-02 00:00:00+00:00,50.87,51.34,50.87,51.34,25.67,22800
2010-09-03 00:00:00+00:00,52.05,52.06,50.98,51.19,25.595,15500
2010-09-07 00:00:00+00:00,51.6,52.43,51.6,52.0,26.0,7000
2010-09-08 00:00:00+00:00,52.0,52.0,52.0,52.0,26.0,0
2010-09-09 00:00:00+00:00,52.29,52.29,52.16,52.16,26.08,200
