datetime,Open,High,Low,Close,Adj Close,Volume
2010-01-04 00:00:00+00:00,59.3,59.45,59.08,59.15,24.629920748,3956100
2010-01-05 00:00:00+00:00,59.65,59.9,59.31,59.57,24.8048077592,4109600
2010-01-06 00:00:00+00:00,59.52,59.919,59.34,59.88,24.9338910294,6227900
2010-01-07 00:00:00+00:00,59.92,60.0,59.69,59.86,24.9255630765,4431300
2010-01-08 00:00:00+00:00,59.79,60.06,59.67,60.0,24.9838587469,3786100
2010-01-11 00:00:00+00:00,61.54,61.97,61.45,61.89,25.7708502975,8227200
2010-01-12 00:00:00+00:00,60.86,61.69,60.8,61.5,25.6084552156,6126600
2010-01-13 00:00:00+00:00,61.31,61.98,61.0,61.8,25.7333745093,5686600
2010-01-14 00:00:00+00:00,61.22,61.75,61.16,61.73,25.7042266741,3330700
2010-01-15 00:00:00+00:00,61.62,61.72,61.29,61.64,25.666750886,3596700
2010-01-19 00:00:00+00:00,61.76,62.38,61.76,62.32,25.9499012851,4914400
2010-01-20 00:00:00+00:00,61.35,61.44,60.6,61.06,25.4252402515,5410900
2010-01-21 00:00:00+00:00,60.95,61.11,59.13,59.57,24.8048077592,7184400
2010-01-22 00:00:00+00:00,58.77,59.1,57.76,57.87,24.0969317614,7297200
2010-01-25 00:00:00+00:00,58.55,58.79,58.21,58.55,24.3800821605,4039100
2010-01-26 00:00:00+00:00,57.95,58.92,57.81,58.49,24.3550983018,5684700
2010-01-27 00:00:00+00:00,57.89,58.18,57.44,58.06,24.1760473141,6025600
2010-01-28 00:00:00+00:00,58.4,58.48,56.96,57.33,23.8720770327,5003700
2010-01-29 00:00:00+00:00,57.08,57.38,55.87,56.12,23.3682358813,7643200
2010-02-01 00:00:00+00:00,56.47,57.262,56.47,57.23,23.8304372681,6031200
2010-02-02 00:00:00+00:00,54.4,55.71,54.14,55.46,23.0934134351,18574000
2010-02-03 00:00:00+00:00,55.35,55.53,54.85,55.17,22.9726581178,8410700
2010-02-04 00:00:00+00:00,54.76,54.78,53.44,53.48,22.2689460964,8364700
2010-02-05 00:00:00+00:00,53.11,53.31,52.1,53.18,22.1440268027,11065800
2010-02-08 00:00:00+00:00,52.64,53.24,52.13,52.43,21.8317285684,7808900
2010-02-09 00:00:00+00:00,52.92,54.1,52.73,53.61,22.3230777904,8017100
2010-02-10 00:00:00+00:00,53.72,53.92,53.11,53.65,22.3397336962,5598300
2010-02-11 00:00:00+00:00,53.89,54.86,53.59,54.8,22.8185909889,6878000
