datetime,Open,High,Low,Close,Adj Close,Volume
2010-01-04 00:00:00+00:00,17.21,17.29,16.91,16.97,25.1301217441,12456300
2010-01-05 00:00:00+00:00,17.01,17.01,16.63,16.69,24.7154821396,11616900
2010-01-06 00:00:00+00:00,16.66,16.86,16.64,16.75,24.8043334834,10459500
2010-01-07 00:00:00+00:00,16.77,16.86,16.7,16.83,24.9228019419,7128000
2010-01-08 00:00:00+00:00,16.74,16.84,16.68,16.84,24.9376104992,4962300
2010-01-11 00:00:00+00:00,16.85,17.05,16.83,17.01,25.1893559733,6586800
2010-01-12 00:00:00+00:00,16.98,17.113,16.89,17.03,25.2189730879,7952700
2010-01-13 00:00:00+00:00,17.09,17.19,16.91,17.07,25.2782073172,9105600
2010-01-14 00:00:00+00:00,17.11,17.14,16.95,17.07,25.2782073172,5759100
2010-01-15 00:00:00+00:00,16.88,17.06,16.68,16.9,25.026461843,13049700
2010-01-19 00:00:00+00:00,16.99,17.1,16.84,17.09,25.3078244318,5574600
2010-01-20 00:00:00+00:00,17.01,17.01,16.74,16.93,25.0708875149,7885800
2010-01-21 00:00:00+00:00,16.94,16.99,16.64,16.68,24.7006735823,11874600
2010-01-22 00:00:00+00:00,16.68,16.79,16.52,16.55,24.5081623374,11781600
2010-01-25 00:00:00+00:00,16.7,16.72,16.48,16.66,24.6710564677,6772800
2010-01-26 00:00:00+00:00,16.67,16.86,16.5575,16.81,24.8931848273,8481300
2010-01-27 00:00:00+00:00,16.78,16.8,16.575,16.74,24.7895249261,8807400
2010-01-28 00:00:00+00:00,16.77,16.78,16.55,16.62,24.6118222385,7063500
2010-01-29 00:00:00+00:00,16.74,16.75,16.52,16.53,24.4785452228,9132600
2010-02-01 00:00:00+00:00,16.56,16.65,16.41,16.65,24.6562479104,5616000
2010-02-02 00:00:00+00:00,16.59,16.78,16.43,16.76,24.8191420408,8325900
2010-02-03 00:00:00+00:00,16.77,16.77,16.58,16.64,24.6414393531,4717200
2010-02-04 00:00:00+00:00,16.61,16.67,16.37,16.37,24.2416083059,7559400
2010-02-05 00:00:00+00:00,16.4,16.45,16.13,16.32,24.1675655194,8993100
2010-02-08 00:00:00+00:00,16.35,16.55,16.25,16.32,24.1675655194,9583800
2010-02-09 00:00:00+00:00,16.42,16.86,16.35,16.56,24.5229708947,15168600
2010-02-10 00:00:00+00:00,16.36,16.47,16.15,16.22,24.3748853216,10641900
2010-02-11 00:00:00+00:00,16.16,16.29,16.02,16.21,24.3598576488,9315900
2010-02-12 00:00:00+00:00,16.16,16.27,16.04,16.15,24.2696916119,9332700
2010-02-16 00:00:00+00:00,16.27,16.43,16.21,16.25,24.4199683401,10916700
2010-02-17 00:00:00+00:00,16.33,16.35,16.1,16.18,24.3147746303,7101900
2010-02-18 00:00:00+00:00,16.15,16.33,16.12,16.33,24.5401897227,6890100
2010-02-19 00:00:00+00:00,16.3,16.63,16.21,16.61,24.9609645618,8882700
2010-02-22 00:00:00+00:00,16.65,16.65,16.4,16.43,24.690466451,8015700
2010-02-23 00:00:00+00:00,16.43,16.49,16.33,16.35,24.5702450684,6162600
2010-02-24 00:00:00+00:00,16.35,16.49,16.24,16.45,24.7205217966,7937400
2010-02-25 00:00:00+00:00,16.34,16.39,16.2,16.38,24.6153280868,7704000
2010-02-26 00:00:00+00:00,16.35,16.47,16.3,16.35,24.5702450684,7509900
2010-03-01 00:00:00+00:00,16.41,16.52,16.34,16.49,24.7806324879,5377800
2010-03-02 00:00:00+00:00,16.61,16.61,16.4,16.44,24.7054941238,6144900
2010-03-03 00:00:00+00:00,16.44,16.56,16.36,16.4,24.6453834325,6684000
2010-03-04 00:00:00+00:00,16.4,16.46,16.23,16.33,24.5401897227,6823500
2010-03-05 00:00:00+00:00,16.34,16.46,16.3,16.46,24.7355494694,6418200
2010-03-08 00:00:00+00:00,16.49,16.54,16.42,16.53,24.8407431792,3109500
2010-03-09 00:00:00+00:00,16.49,16.52,16.43,16.47,24.7505771423,3688800
2010-03-10 00:00:00+00:00,16.46,16.53,16.4,16.47,24.7505771423,5083800
2010-03-11 00:00:00+00:00,16.47,16.5,16.39,16.48,24.7656048151,5768100
2010-03-12 00:00:00+00:00,16.5,16.52,16.32,16.33,24.5401897227,4987500
2010-03-15 00:00:00+00:00,16.35,16.47,16.3,16.46,24.7355494694,5199900
2010-03-16 00:00:00+00:00,16.53,16.64,16.43,16.61,24.9609645618,6074400
2010-03-17 00:00:00+00:00,16.71,16.71,16.58,16.62,24.9759922346,6815400
2010-03-18 00:00:00+00:00,16.55,16.71,16.55,16.58,24.9158815433,7894200
2010-03-19 00:00:00+00:00,16.56,16.755,16.46,16.58,24.9158815433,11667600
2010-03-22 00:00:00+00:00,16.53,16.55,16.36,16.44,24.7054941238,7027200
2010-03-23 00:00:00+00:00,16.43,16.47,16.36,16.46,24.7355494694,5558700
2010-03-24 00:00:00+00:00,16.45,16.46,16.3,16.32,24.5251620499,6246000
2010-03-25 00:00:00+00:00,16.34,16.41,16.27,16.3,24.4951067042,5349900
2010-03-26 00:00:00+00:00,16.36,16.43,16.28,16.42,24.6754387781,4650000
2010-03-29 00:00:00+00:00,16.45,16.59,16.42,16.59,24.9309092162,5297100
2010-03-30 00:00:00+00:00,16.58,16.66,16.37,16.4,24.6453834325,8886600
2010-03-31 00:00:00+00:00,16.39,16.43,16.31,16.32,24.5251620499,5993400
2010-04-01 00:00:00+00:00,16.38,16.46,16.35,16.41,24.6604111053,5773800
2010-04-05 00:00:00+00:00,16.43,16.49,16.35,16.42,24.6754387781,6974700
2010-04-06 00:00:00+00:00,16.35,16.55,16.3,16.55,24.8707985249,5090100
2010-04-07 00:00:00+00:00,16.53,16.55,16.35,16.37,24.600300414,6944400
2010-04-08 00:00:00+00:00,16.36,16.4,16.21,16.24,24.4049406673,10441800
2010-04-09 00:00:00+00:00,16.27,16.33,16.13,16.33,24.5401897227,9275100
2010-04-12 00:00:00+00:00,16.32,16.37,16.26,16.26,24.4349960129,7652400
2010-04-13 00:00:00+00:00,16.27,16.29,16.19,16.22,24.3748853216,8730900
2010-04-14 00:00:00+00:00,16.23,16.24,16.17,16.21,24.3598576488,7201800
2010-04-15 00:00:00+00:00,16.22,16.22,16.07,16.13,24.2396362662,8557800
2010-04-16 00:00:00+00:00,16.13,16.18,16.0,16.01,24.0593041923,12727500
2010-04-19 00:00:00+00:00,15.94,16.13,15.94,16.07,24.1494702293,11094900
2010-04-20 00:00:00+00:00,16.12,16.37,16.11,16.35,24.5702450684,10211700
2010-04-21 00:00:00+00:00,16.32,16.37,16.25,16.3,24.4951067042,8241600
2010-04-22 00:00:00+00:00,16.24,16.31,16.1,16.21,24.3598576488,9715800
2010-04-23 00:00:00+00:00,16.22,16.25,16.025,16.25,24.4199683401,10176300
2010-04-26 00:00:00+00:00,16.24,16.3,16.15,16.24,24.4049406673,9278700
2010-04-27 00:00:00+00:00,16.21,16.28,16.01,16.01,24.0593041923,9734400
2010-04-28 00:00:00+00:00,16.19,16.9,16.15,16.64,25.0060475803,37092000
2010-04-29 00:00:00+00:00,16.59,16.72,16.5,16.53,24.8407431792,12115800
2010-04-30 00:00:00+00:00,16.56,16.82,16.53,16.78,25.2164349998,9740100
2010-05-03 00:00:00+00:00,16.85,16.97,16.75,16.93,25.4418500922,9518700
2010-05-04 00:00:00+00:00,16.88,17.0,16.64,16.71,25.1112412901,12429600
2010-05-05 00:00:00+00:00,16.69,16.99,16.69,16.76,25.1863796542,10300500
2010-05-06 00:00:00+00:00,16.82,16.93,15.9,16.48,24.7656048151,17308800
2010-05-07 00:00:00+00:00,16.57,16.65,16.11,16.55,24.8707985249,21086100
2010-05-10 00:00:00+00:00,16.85,16.95,16.68,16.9,25.3967670737,11952000
2010-05-11 00:00:00+00:00,16.84,17.12,16.74,16.92,25.4268224194,11844000
2010-05-12 00:00:00+00:00,16.91,17.05,16.81,16.98,25.5169884563,10776300
2010-05-13 00:00:00+00:00,16.98,17.06,16.81,16.86,25.3366563824,8412000
2010-05-14 00:00:00+00:00,16.86,16.92,16.72,16.78,25.2164349998,9664200
2010-05-17 00:00:00+00:00,16.8,16.95,16.61,16.93,25.4418500922,9087900
2010-05-18 00:00:00+00:00,16.99,17.14,16.92,16.94,25.456877765,16807800
2010-05-19 00:00:00+00:00,16.66,16.71,16.41,16.49,25.1412966357,11184600
2010-05-20 00:00:00+00:00,16.31,16.42,15.97,15.97,24.3484843707,15060000
2010-05-21 00:00:00+00:00,15.75,16.01,15.75,16.0,24.3942235398,13428300
2010-05-24 00:00:00+00:00,15.97,16.24,15.91,15.97,24.3484843707,10479000
2010-05-25 00:00:00+00:00,15.78,15.85,15.47,15.82,24.119788525,10605300
2010-05-26 00:00:00+00:00,15.94,15.95,15.66,15.71,23.9520782381,9567000
2010-05-27 00:00:00+00:00,15.91,15.99,15.775,15.98,24.3637307604,7447200
2010-05-28 00:00:00+00:00,16.03,16.13,15.91,15.96,24.3332379809,8939400
2010-06-01 00:00:00+00:00,15.85,15.97,15.68,15.7,23.9368318484,6818100
2010-06-02 00:00:00+00:00,15.79,15.96,15.71,15.96,24.3332379809,8139000
2010-06-03 00:00:00+00:00,16.03,16.11,15.93,16.05,24.4704554884,4313700
2010-06-04 00:00:00+00:00,15.87,15.88,15.58,15.61,23.799614341,9981900
2010-06-07 00:00:00+00:00,15.66,15.84,15.58,15.67,23.8910926793,8019000
2010-06-08 00:00:00+00:00,15.66,16.1,15.57,16.1,24.5466874369,14526000
2010-06-09 00:00:00+00:00,16.13,16.14,15.87,15.93,24.2874988118,8285700
2010-06-10 00:00:00+00:00,16.12,16.24,16.05,16.24,24.7601368929,8362200
2010-06-11 00:00:00+00:00,16.17,16.2395,15.98,16.17,24.6534121649,6153000
2010-06-14 00:00:00+00:00,16.26,16.31,16.16,16.21,24.7143977238,7782900
2010-06-15 00:00:00+00:00,16.27,16.41,16.22,16.41,25.019325518,6797400
2010-06-16 00:00:00+00:00,16.47,16.56,16.34,16.52,25.1870358048,6737400
2010-06-17 00:00:00+00:00,16.55,16.72,16.45,16.71,25.4767172094,5975100
2010-06-18 00:00:00+00:00,16.69,16.74,16.52,16.64,25.3699924814,7378500
2010-06-21 00:00:00+00:00,16.72,16.75,16.51,16.59,25.2937605328,6339900
2010-06-22 00:00:00+00:00,16.57,16.6,16.28,16.32,24.8821080106,6742800
2010-06-23 00:00:00+00:00,16.34,16.4,16.15,16.22,24.7296441135,5602800
2010-06-24 00:00:00+00:00,16.13,16.39,16.11,16.15,24.6229193855,12847200
2010-06-25 00:00:00+00:00,16.18,16.26,16.05,16.17,24.6534121649,6342600
2010-06-28 00:00:00+00:00,16.24,16.41,16.12,16.34,24.91260079,4660800
2010-06-29 00:00:00+00:00,16.23,16.28,16.05,16.15,24.6229193855,9043800
2010-06-30 00:00:00+00:00,16.14,16.29,15.95,16.0,24.3942235398,8171700
2010-07-01 00:00:00+00:00,16.07,16.07,15.87,15.97,24.3484843707,11187300
2010-07-02 00:00:00+00:00,15.97,16.16,15.96,16.06,24.4857018781,6867000
2010-07-06 00:00:00+00:00,16.13,16.3,16.09,16.22,24.7296441135,17241900
2010-07-07 00:00:00+00:00,16.24,16.76,16.21,16.75,25.5377027682,8119200
2010-07-08 00:00:00+00:00,16.76,16.85,16.58,16.72,25.4919635991,7492800
2010-07-09 00:00:00+00:00,16.7,16.81,16.64,16.79,25.5986883271,3608700
2010-07-12 00:00:00+00:00,16.73,16.9,16.7,16.89,25.7511522242,4513800
2010-07-13 00:00:00+00:00,16.93,16.98,16.77,16.84,25.6749202756,7022100
2010-07-14 00:00:00+00:00,16.8,16.97,16.75,16.96,25.8578769522,6865500
2010-07-15 00:00:00+00:00,16.96,17.11,16.86,17.08,26.0408336287,5868900
2010-07-16 00:00:00+00:00,17.08,17.11,16.82,16.87,25.7206594448,6625800
2010-07-19 00:00:00+00:00,16.97,17.225,16.9,17.17,26.1780511361,5833500
2010-07-20 00:00:00+00:00,17.04,17.19,16.93,17.14,26.132311967,6444900
2010-07-21 00:00:00+00:00,17.16,17.18,16.79,16.9,25.7663986139,8358300
2010-07-22 00:00:00+00:00,17.03,17.18,16.97,17.1,26.0713264082,9745500
2010-07-23 00:00:00+00:00,17.19,17.19,16.85,16.94,25.8273841728,19761600
2010-07-26 00:00:00+00:00,16.89,17.1,16.89,17.1,26.0713264082,10028700
2010-07-27 00:00:00+00:00,17.14,17.36,17.05,17.36,26.4677325407,10492500
2010-07-28 00:00:00+00:00,17.34,17.37,17.2,17.31,26.3915005921,6685800
2010-07-29 00:00:00+00:00,17.38,17.43,17.16,17.17,26.1780511361,7742700
2010-07-30 00:00:00+00:00,17.1,17.227,17.0,17.1,26.0713264082,7786800
2010-08-02 00:00:00+00:00,17.24,17.48,17.24,17.37,26.4829789304,8548500
2010-08-03 00:00:00+00:00,17.5,17.5,17.33,17.37,26.4829789304,8203200
2010-08-04 00:00:00+00:00,17.47,17.47,17.25,17.37,26.4829789304,6399600
2010-08-05 00:00:00+00:00,17.32,17.42,17.25,17.41,26.5439644892,5893500
2010-08-06 00:00:00+00:00,17.38,17.45,17.25,17.42,26.559210879,6569700
2010-08-09 00:00:00+00:00,17.54,17.61,17.44,17.56,26.7726603349,5922900
2010-08-10 00:00:00+00:00,17.49,17.8,17.42,17.69,26.9708634012,10244700
2010-08-11 00:00:00+00:00,17.31,17.33,17.11,17.11,26.4601093458,8490600
2010-08-12 00:00:00+00:00,16.99,17.2,16.96,17.1,26.4446446414,7752900
2010-08-13 00:00:00+00:00,17.08,17.2,17.0,17.01,26.3054623011,10672200
2010-08-16 00:00:00+00:00,16.97,17.04,16.76,17.03,26.3363917101,6643800
2010-08-17 00:00:00+00:00,17.11,17.37,17.08,17.24,26.6611505039,7865100
2010-08-18 00:00:00+00:00,17.21,17.33,17.11,17.26,26.6920799129,25602300
2010-08-19 00:00:00+00:00,17.21,17.21,16.86,17.04,26.3518564145,7409400
2010-08-20 00:00:00+00:00,16.96,17.11,16.91,17.06,26.3827858235,6681300
2010-08-23 00:00:00+00:00,17.15,17.24,17.06,17.06,26.3827858235,14066400
2010-08-24 00:00:00+00:00,16.98,17.29,16.92,17.21,26.6147563905,12933600
2010-08-25 00:00:00+00:00,17.16,17.24,16.95,17.16,26.5374328682,9262200
2010-08-26 00:00:00+00:00,17.23,17.23,17.03,17.08,26.4137152324,6263700
2010-08-27 00:00:00+00:00,17.15,17.36,17.03,17.36,26.8467269575,5980500
2010-08-30 00:00:00+00:00,17.35,17.38,17.15,17.15,26.5219681637,5171700
2010-08-31 00:00:00+00:00,17.1,17.29,17.0103,17.18,26.5683622771,11185200
2010-09-01 00:00:00+00:00,17.33,17.5,17.28,17.44,26.9704445933,11837100
2010-09-02 00:00:00+00:00,17.46,17.46,17.22,17.28,26.7230093218,7369800
2010-09-03 00:00:00+00:00,17.32,17.41,17.195,17.35,26.8312622531,7761900
2010-09-07 00:00:00+00:00,17.35,17.49,17.3,17.34,26.8157975486,6489600
2010-09-08 00:00:00+00:00,17.34,17.49,17.33,17.39,26.8931210709,5707200
2010-09-09 00:00:00+00:00,17.47,17.58,17.4,17.54,27.125091638,6580200
2010-09-10 00:00:00+00:00,17.52,17.56,17.42,17.53,27.1096269335,6023700
2010-09-13 00:00:00+00:00,17.58,17.72,17.56,17.66,27.3106680916,6307500
2010-09-14 00:00:00+00:00,17.66,17.75,17.56,17.66,27.3106680916,5852100
2010-09-15 00:00:00+00:00,17.65,17.71,17.54,17.58,27.1869504559,6511200
2010-09-16 00:00:00+00:00,17.72,17.72,17.51,17.57,27.1714857514,5262300
2010-09-17 00:00:00+00:00,17.57,17.67,17.47,17.51,27.0786975246,9045600
2010-09-20 00:00:00+00:00,17.56,17.8,17.52,17.78,27.4962445452,6026700
2010-09-21 00:00:00+00:00,17.79,17.93,17.69,17.79,27.5117092497,6808500
