datetime,Open,High,Low,Close,Adj Close,Volume
2010-01-04 00:00:00+00:00,3.77,4.02,3.73,4.02,17366.4,1860400
2010-01-05 00:00:00+00:00,3.99,4.01,3.79,3.93,16977.6,1229000
2010-01-06 00:00:00+00:00,3.91,3.97,3.83,3.89,16804.8,545600
2010-01-07 00:00:00+00:00,3.87,3.9,3.77,3.81,16459.2,545900
2010-01-08 00:00:00+00:00,3.78,3.87,3.74,3.87,16718.4,408000
2010-01-11 00:00:00+00:00,3.91,3.94,3.76,3.86,16675.2,637300
2010-01-12 00:00:00+00:00,3.81,3.81,3.57,3.61,15595.2,744400
2010-01-13 00:00:00+00:00,3.61,3.71,3.52,3.69,15940.8,537900
2010-01-14 00:00:00+00:00,3.68,3.75,3.6,3.61,15595.2,445000
2010-01-15 00:00:00+00:00,3.63,3.63,3.44,3.5,15120.0,683500
2010-01-19 00:00:00+00:00,3.53,3.59,3.49,3.57,15422.4,399300
2010-01-20 00:00:00+00:00,3.51,3.54,3.36,3.4,14688.0,505000
2010-01-21 00:00:00+00:00,3.42,3.4701,3.25,3.3,14256.0,735700
2010-01-22 00:00:00+00:00,3.28,3.28,3.11,3.11,13435.2,676900
2010-01-25 00:00:00+00:00,3.18,3.23,3.0,3.02,13046.4,1158400
2010-01-26 00:00:00+00:00,3.01,3.06,2.91,2.99,12916.8,1174100
2010-01-27 00:00:00+00:00,2.96,3.03,2.92,2.99,12916.8,639300
2010-01-28 00:00:00+00:00,3.0,3.05,2.9,2.9,12528.0,696400
2010-01-29 00:00:00+00:00,2.96,3.0199,2.81,2.82,12182.4,812500
2010-02-01 00:00:00+00:00,2.84,2.96,2.83,2.88,12441.6,335900
2010-02-02 00:00:00+00:00,2.9,3.32,2.9,2.97,12830.4,1195700
2010-02-03 00:00:00+00:00,2.99,3.15,2.95,2.98,12873.6,450400
2010-02-04 00:00:00+00:00,2.95,2.98,2.82,2.82,12182.4,578600
2010-02-05 00:00:00+00:00,2.81,2.8697,2.67,2.77,11966.4,706100
2010-02-08 00:00:00+00:00,2.77,2.8601,2.62,2.62,11318.4,635500
2010-02-09 00:00:00+00:00,2.67,2.78,2.65,2.66,11491.2,531000
2010-02-10 00:00:00+00:00,2.65,2.74,2.58,2.62,11318.4,517200
2010-02-11 00:00:00+00:00,2.61,2.67,2.6,2.64,11404.8,348100
2010-02-12 00:00:00+00:00,2.63,2.67,2.57,2.65,11448.0,418700
2010-02-16 00:00:00+00:00,2.67,2.69,2.61,2.65,11448.0,470700
2010-02-17 00:00:00+00:00,2.67,2.73,2.58,2.61,11275.2,739400
2010-02-18 00:00:00+00:00,2.61,2.64,2.57,2.63,11361.6,350000
2010-02-19 00:00:00+00:00,2.63,2.65,2.59,2.64,11404.8,471700
2010-02-22 00:00:00+00:00,2.66,3.08,2.655,3.02,13046.4,1441100
2010-02-23 00:00:00+00:00,3.03,3.06,2.83,2.89,12484.8,1341200
2010-02-24 00:00:00+00:00,2.9,3.06,2.83,2.87,12398.4,1434800
2010-02-25 00:00:00+00:00,2.83,2.94,2.76,2.9,12528.0,565300
2010-02-26 00:00:00+00:00,2.92,2.92,2.79,2.81,12139.2,531200
2010-03-01 00:00:00+00:00,2.84,2.9,2.78,2.81,12139.2,460300
2010-03-02 00:00:00+00:00,2.81,2.88,2.81,2.85,12312.0,543200
2010-03-03 00:00:00+00:00,2.87,2.9,2.85,2.87,12398.4,420200
2010-03-04 00:00:00+00:00,2.89,2.892,2.8,2.85,12312.0,412000
2010-03-05 00:00:00+00:00,2.86,2.9,2.83,2.87,12398.4,479600
2010-03-08 00:00:00+00:00,2.91,2.915,2.86,2.87,12398.4,585100
2010-03-09 00:00:00+00:00,2.87,2.94,2.87,2.9,12528.0,451300
2010-03-10 00:00:00+00:00,2.9,3.04,2.89,2.95,12744.0,1049600
2010-03-11 00:00:00+00:00,3.12,3.29,3.08,3.27,14126.4,2279200
2010-03-12 00:00:00+00:00,3.33,3.4,3.13,3.18,13737.6,1341200
2010-03-15 00:00:00+00:00,3.18,3.24,3.09,3.1,13392.0,577300
2010-03-16 00:00:00+00:00,3.11,3.11,2.94,3.05,13176.0,1093500
2010-03-17 00:00:00+00:00,3.18,3.18,3.0,3.01,13003.2,583600
2010-03-18 00:00:00+00:00,2.96,3.08,2.9,2.91,12571.2,1050500
2010-03-19 00:00:00+00:00,2.93,2.93,2.8,2.81,12139.2,809200
2010-03-22 00:00:00+00:00,2.81,2.96,2.79,2.96,12787.2,625000
2010-03-23 00:00:00+00:00,2.96,3.04,2.93,2.98,12873.6,457800
2010-03-24 00:00:00+00:00,3.01,3.04,2.88,2.9,12528.0,850300
2010-03-25 00:00:00+00:00,2.94,3.02,2.88,2.89,12484.8,483300
2010-03-26 00:00:00+00:00,2.9,2.97,2.89,2.9,12528.0,589400
2010-03-29 00:00:00+00:00,2.91,2.91,2.73,2.88,12441.6,1496500
2010-03-30 00:00:00+00:00,2.9,2.9636,2.8399,2.88,12441.6,3220800
2010-03-31 00:00:00+00:00,2.88,2.92,2.8,2.82,12182.4,1088000
2010-04-01 00:00:00+00:00,3.05,3.05,2.87,2.87,12398.4,749800
2010-04-05 00:00:00+00:00,2.88,2.94,2.88,2.91,12571.2,1296200
2010-04-06 00:00:00+00:00,2.91,2.98,2.88,2.96,12787.2,923300
2010-04-07 00:00:00+00:00,3.0,3.01,2.86,2.88,12441.6,909800
2010-04-08 00:00:00+00:00,2.86,2.93,2.86,2.93,12657.6,425600
2010-04-09 00:00:00+00:00,2.91,2.94,2.84,2.87,12398.4,692900
2010-04-12 00:00:00+00:00,3.0,3.04,2.9,2.97,12830.4,1215600
2010-04-13 00:00:00+00:00,3.0,3.0,2.9,2.95,12744.0,673200
2010-04-14 00:00:00+00:00,2.96,2.9805,2.945,2.97,12830.4,949500
2010-04-15 00:00:00+00:00,2.98,3.1,2.98,3.06,13219.2,1125400
2010-04-16 00:00:00+00:00,3.08,3.0915,2.83,2.83,12225.6,1774100
2010-04-19 00:00:00+00:00,2.91,2.99,2.84,2.88,12441.6,1092300
2010-04-20 00:00:00+00:00,2.88,2.96,2.88,2.93,12657.6,587300
2010-04-21 00:00:00+00:00,2.96,2.96,2.9,2.92,12614.4,766300
2010-04-22 00:00:00+00:00,2.9,3.0,2.86,2.99,12916.8,779800
2010-04-23 00:00:00+00:00,2.99,3.02,2.93,2.95,12744.0,655000
2010-04-26 00:00:00+00:00,2.94,3.01,2.89,2.89,12484.8,460400
2010-04-27 00:00:00+00:00,2.89,2.91,2.83,2.83,12225.6,595000
2010-04-28 00:00:00+00:00,2.84,2.9,2.82,2.83,12225.6,276500
2010-04-29 00:00:00+00:00,2.85,2.85,2.81,2.81,12139.2,609000
2010-04-30 00:00:00+00:00,2.82,2.84,2.75,2.75,11880.0,567400
2010-05-03 00:00:00+00:00,2.79,2.89,2.7593,2.89,12484.8,580700
2010-05-04 00:00:00+00:00,2.9,2.91,2.75,2.76,11923.2,622700
2010-05-05 00:00:00+00:00,2.72,2.78,2.65,2.7,11664.0,679100
2010-05-06 00:00:00+00:00,2.66,2.6999,2.42,2.49,10756.8,1210600
2010-05-07 00:00:00+00:00,2.54,2.67,2.28,2.35,10152.0,1062700
2010-05-10 00:00:00+00:00,2.48,2.95,2.41,2.58,11145.6,722400
2010-05-11 00:00:00+00:00,2.53,2.65,2.47,2.49,10756.8,468700
2010-05-12 00:00:00+00:00,2.56,2.6401,2.51,2.61,11275.2,464100
2010-05-13 00:00:00+00:00,2.61,2.62,2.57,2.59,11188.8,256400
2010-05-14 00:00:00+00:00,2.56,2.58,2.43,2.45,10584.0,550600
2010-05-17 00:00:00+00:00,2.48,2.5,2.36,2.42,10454.4,392500
2010-05-18 00:00:00+00:00,2.47,2.48,2.25,2.27,9806.4,749200
2010-05-19 00:00:00+00:00,2.25,2.33,2.23,2.33,10065.6,601600
2010-05-20 00:00:00+00:00,2.26,2.3066,2.08,2.1,9072.0,1120700
2010-05-21 00:00:00+00:00,2.05,2.14,2.0,2.1,9072.0,897600
2010-05-24 00:00:00+00:00,2.11,2.2,2.06,2.06,8899.2,603200
2010-05-25 00:00:00+00:00,2.05,2.17,2.01,2.15,9288.0,679700
2010-05-26 00:00:00+00:00,2.19,2.3,2.11,2.11,9115.2,567100
2010-05-27 00:00:00+00:00,2.19,2.22,2.11,2.22,9590.4,360600
2010-05-28 00:00:00+00:00,2.2,2.24,2.11,2.15,9288.0,515300
2010-06-01 00:00:00+00:00,2.12,2.15,2.02,2.02,8726.4,678000
2010-06-02 00:00:00+00:00,2.03,2.13,2.03,2.13,9201.6,353400
2010-06-03 00:00:00+00:00,2.27,2.72,2.27,2.62,11318.4,4104600
2010-06-04 00:00:00+00:00,2.58,2.64,2.38,2.4,10368.0,1597700
2010-06-07 00:00:00+00:00,2.5,2.54,2.25,2.26,9763.2,1159900
2010-06-08 00:00:00+00:00,2.2,2.21,2.05,2.06,8899.2,1030600
2010-06-09 00:00:00+00:00,2.1,2.1132,2.0,2.01,8683.2,1159500
2010-06-10 00:00:00+00:00,2.07,2.09,1.82,1.87,8078.4,1798000
2010-06-11 00:00:00+00:00,1.87,1.9198,1.67,1.71,7387.2,2706100
2010-06-14 00:00:00+00:00,1.73,1.77,1.66,1.66,7171.2,2014300
2010-06-15 00:00:00+00:00,1.78,1.95,1.67,1.95,8424.0,2258600
2010-06-16 00:00:00+00:00,1.93,1.95,1.81,1.82,7862.4,968800
2010-06-17 00:00:00+00:00,1.84,1.8999,1.75,1.77,7646.4,1168200
2010-06-18 00:00:00+00:00,1.79,1.82,1.7,1.7,7344.0,2087100
2010-06-21 00:00:00+00:00,1.75,1.82,1.71,1.72,7430.4,1155800
2010-06-22 00:00:00+00:00,1.75,1.75,1.61,1.6175,6987.6,1207200
2010-06-23 00:00:00+00:00,1.65,1.68,1.53,1.58,6825.6,1527900
2010-06-24 00:00:00+00:00,1.55,1.6,1.5,1.5,6480.0,1461100
2010-06-25 00:00:00+00:00,1.25,1.26,1.17,1.2475,5389.2,16090500
2010-06-28 00:00:00+00:00,1.23,1.25,1.19,1.23,5313.6,3902700
