datetime,Open,High,Low,Close,Adj Close,Volume
2010-01-04 00:00:00+00:00,82.66,83.51,82.2,83.1,48.9364747603,3478100
2010-01-05 00:00:00+00:00,83.18,83.23,82.03,82.5,48.5831428126,3368000
2010-01-06 00:00:00+00:00,82.4,83.87,81.83,83.49,49.1661405263,5344700
2010-01-07 00:00:00+00:00,82.95,83.63,82.37,82.87,48.801030847,4120200
2010-01-08 00:00:00+00:00,82.52,83.78,81.53,83.72,49.3015844396,4154600
2010-01-11 00:00:00+00:00,84.15,84.83,82.3,82.96,48.8540306392,3908300
2010-01-12 00:00:00+00:00,81.8,82.17,79.91,80.16,47.2051482164,6775100
2010-01-13 00:00:00+00:00,80.34,80.7,78.6,79.63,46.8930383293,7363200
2010-01-14 00:00:00+00:00,79.15,80.43,79.12,80.25,47.2581480086,4519700
2010-01-15 00:00:00+00:00,80.04,80.27,78.35,78.92,46.4749288578,7906800
2010-01-19 00:00:00+00:00,78.65,79.43,78.25,79.36,46.7340389528,5461000
2010-01-20 00:00:00+00:00,78.6,78.6,76.81,78.21,46.0568193863,6026000
2010-01-21 00:00:00+00:00,78.15,78.51,75.89,76.01,44.7612689113,7288300
2010-01-22 00:00:00+00:00,76.59,78.16,75.72,76.1,44.8142687035,9715400
2010-01-25 00:00:00+00:00,77.03,78.53,76.8,77.65,45.7270429018,6442600
2010-01-26 00:00:00+00:00,76.21,77.97,76.21,76.66,45.144045188,8728100
2010-01-27 00:00:00+00:00,76.7,77.2,75.39,76.43,45.0086012747,5060700
2010-01-28 00:00:00+00:00,77.46,78.82,74.38,77.5,45.6387099148,11353800
2010-01-29 00:00:00+00:00,78.14,79.82,77.75,78.34,46.1333746417,10751600
2010-02-01 00:00:00+00:00,79.09,79.92,78.95,79.83,47.0108156452,6083000
2010-02-02 00:00:00+00:00,80.11,80.93,79.21,80.78,47.5702578958,5158700
2010-02-03 00:00:00+00:00,80.66,81.13,79.64,80.13,47.1874816191,3532000
2010-02-04 00:00:00+00:00,79.43,79.43,76.3,76.44,45.0144901405,7646700
2010-02-05 00:00:00+00:00,76.38,77.16,74.27,76.71,45.173489517,10234900
2010-02-08 00:00:00+00:00,76.77,78.58,76.02,76.3,44.9320460194,6633500
2010-02-09 00:00:00+00:00,77.4,78.9,76.48,77.91,45.8801534125,8068600
2010-02-10 00:00:00+00:00,78.41,78.92,77.1,78.39,46.1628189706,5895800
2010-02-11 00:00:00+00:00,78.46,80.52,77.75,80.46,47.3818141903,6212300
2010-02-12 00:00:00+00:00,79.21,79.9,78.29,79.8,46.9931490478,6187800
2010-02-16 00:00:00+00:00,81.0,81.46,79.88,81.18,47.8058125276,5824800
2010-02-17 00:00:00+00:00,81.18,81.44,79.86,80.94,47.6644797485,4749400
2010-02-18 00:00:00+00:00,80.62,81.18,79.79,80.99,47.6939240775,4118900
2010-02-19 00:00:00+00:00,80.77,82.0,80.58,81.51,48.0001450988,3877900
2010-02-22 00:00:00+00:00,82.0,82.12,79.84,80.01,47.1168152295,5310700
2010-02-23 00:00:00+00:00,80.1,80.42,78.89,79.01,46.52792865,7339100
2010-02-24 00:00:00+00:00,79.77,79.95,78.77,79.55,46.8459274029,3658700
2010-02-25 00:00:00+00:00,77.99,79.18,77.04,79.03,46.5397063816,5130300
2010-02-26 00:00:00+00:00,79.53,80.1,78.6739,79.85,47.0225933768,4398000
2010-03-01 00:00:00+00:00,80.26,81.12,80.14,80.75,47.5525912984,4165000
2010-03-02 00:00:00+00:00,81.23,81.86,80.9,81.2,47.8175902592,4038200
2010-03-03 00:00:00+00:00,81.53,82.07,80.84,81.03,47.7174795406,6757000
2010-03-04 00:00:00+00:00,81.03,81.85,80.83,81.25,47.8470345881,4340300
2010-03-05 00:00:00+00:00,81.96,82.24,81.33,81.94,48.253366328,3836300
2010-03-08 00:00:00+00:00,81.77,82.08,81.03,81.49,48.1826999385,3469500
2010-03-09 00:00:00+00:00,80.9,82.37,80.8,81.49,48.1826999385,6125700
2010-03-10 00:00:00+00:00,81.34,82.23,80.99,81.97,48.4665101725,4322100
2010-03-11 00:00:00+00:00,81.65,82.45,81.44,81.86,48.4014703272,3902200
2010-03-12 00:00:00+00:00,82.38,82.49,81.43,81.84,48.3896449008,3944100
2010-03-15 00:00:00+00:00,81.46,81.64,80.17,81.06,47.9284532705,3190300
2010-03-16 00:00:00+00:00,81.58,82.45,80.93,82.37,48.7030187009,5519700
2010-03-17 00:00:00+00:00,82.65,83.74,82.52,83.21,49.1996866104,6983100
2010-03-18 00:00:00+00:00,82.88,83.29,81.53,82.51,48.7857966858,4552500
2010-03-19 00:00:00+00:00,83.19,83.19,81.84,82.58,48.8271856782,6781100
2010-03-22 00:00:00+00:00,81.54,82.84,81.26,82.57,48.821272965,3759700
2010-03-23 00:00:00+00:00,82.57,83.46,81.94,83.32,49.2647264557,7503700
2010-03-24 00:00:00+00:00,82.87,83.55,82.36,82.95,49.045956067,5154900
2010-03-25 00:00:00+00:00,83.74,83.95,81.41,81.51,48.1945253649,6761700
2010-03-26 00:00:00+00:00,81.92,82.06,81.14,81.73,48.3246050555,8075500
2010-03-29 00:00:00+00:00,82.24,84.46,81.94,84.14,49.7495689388,8140700
2010-03-30 00:00:00+00:00,84.7,84.81,84.0,84.27,49.8264342105,5093400
2010-03-31 00:00:00+00:00,84.36,85.05,83.89,84.54,49.9860774672,5475600
2010-04-01 00:00:00+00:00,85.25,86.97,85.25,86.6,51.2040963882,5436300
2010-04-05 00:00:00+00:00,87.01,88.74,86.81,88.41,52.274297479,4603100
2010-04-06 00:00:00+00:00,88.08,88.8,87.88,88.49,52.3215991846,4296300
2010-04-07 00:00:00+00:00,88.05,88.0825,86.0,86.3,51.0267149919,8444500
2010-04-08 00:00:00+00:00,85.77,86.78,84.7,86.58,51.1922709618,5645000
2010-04-09 00:00:00+00:00,86.61,87.08,85.59,86.56,51.1804455354,4527200
2010-04-12 00:00:00+00:00,86.71,87.01,86.31,86.79,51.3164379392,4951900
2010-04-13 00:00:00+00:00,86.34,86.66,84.74,85.69,50.6660394862,4457200
2010-04-14 00:00:00+00:00,86.17,86.19,85.0,86.16,50.943937007,4926000
2010-04-15 00:00:00+00:00,86.04,86.93,85.31,86.47,51.1272311165,4824300
2010-04-16 00:00:00+00:00,85.79,86.6,84.59,85.06,50.293538554,6834600
2010-04-19 00:00:00+00:00,84.16,84.82,83.4,84.69,50.0747681653,4680800
2010-04-20 00:00:00+00:00,85.59,87.55,85.39,86.59,51.198183675,4832300
2010-04-21 00:00:00+00:00,86.45,87.22,85.11,85.88,50.7783810372,4306800
2010-04-22 00:00:00+00:00,85.05,85.42,84.21,85.3,50.435443671,4556700
2010-04-23 00:00:00+00:00,85.45,87.52,84.58,87.48,51.7244151506,4627600
2010-04-26 00:00:00+00:00,87.66,88.78,87.18,87.41,51.6830261581,3873700
2010-04-27 00:00:00+00:00,86.82,87.54,84.04,84.35,49.8737359162,5494700
2010-04-28 00:00:00+00:00,84.87,85.32,83.87,84.9,50.1989351427,4917400
2010-04-29 00:00:00+00:00,84.93,86.61,84.72,86.25,50.9971514259,5441800
2010-04-30 00:00:00+00:00,86.64,90.43,86.42,88.66,52.4221153092,9954900
2010-05-03 00:00:00+00:00,89.17,90.99,88.98,89.99,53.208506166,6658700
2010-05-04 00:00:00+00:00,88.01,88.1,85.25,86.54,51.1686201089,5760700
2010-05-05 00:00:00+00:00,85.02,85.27,82.34,82.88,49.0045670745,8825400
2010-05-06 00:00:00+00:00,82.34,83.64,74.2,80.42,47.5500396251,11560900
2010-05-07 00:00:00+00:00,80.27,81.61,77.78,80.61,47.6623811761,12369200
2010-05-10 00:00:00+00:00,83.23,85.29,82.63,84.16,49.7613943652,8177900
