datetime,Open,High,Low,Close,Adj Close,Volume
2010-01-04 00:00:00+00:00,11.09,11.35,11.09,11.35,41.2508594995,539800
2010-01-05 00:00:00+00:00,11.37,11.55,11.29,11.48,41.7233363044,508700
2010-01-06 00:00:00+00:00,11.5,11.71,11.49,11.65,42.3411905876,905900
2010-01-07 00:00:00+00:00,11.65,11.68,11.537,11.62,42.2321574788,487100
2010-01-08 00:00:00+00:00,11.6,11.76,11.6,11.76,42.7409786533,376200
2010-01-11 00:00:00+00:00,11.85,11.95,11.68,11.77,42.7773230229,694000
2010-01-12 00:00:00+00:00,11.65,11.65,11.4,11.48,41.7233363044,787800
2010-01-13 00:00:00+00:00,11.45,11.48,11.2,11.42,41.5052700868,737100
2010-01-14 00:00:00+00:00,11.42,11.54,11.15,11.17,40.5966608467,391000
2010-01-15 00:00:00+00:00,11.13,11.1801,10.85,10.9,39.6153628674,502000
2010-01-19 00:00:00+00:00,10.82,10.95,10.7,10.95,39.7970847154,780800
2010-01-20 00:00:00+00:00,10.88,10.93,10.69,10.79,39.2155748018,484000
2010-01-21 00:00:00+00:00,10.83,10.86,10.45,10.45,37.9798662353,792900
2010-01-22 00:00:00+00:00,10.42,10.46,10.0,10.0,36.3443696031,938100
2010-01-25 00:00:00+00:00,10.08,10.26,10.06,10.14,36.8531907776,927000
2010-01-26 00:00:00+00:00,10.08,10.172,9.98,10.09,36.6714689296,647400
2010-01-27 00:00:00+00:00,10.03,10.1,9.81,10.03,36.4534027119,1021500
2010-01-28 00:00:00+00:00,10.08,10.1,9.72,9.76,35.4721047327,793000
2010-01-29 00:00:00+00:00,9.86,9.96,9.52,9.56,34.7452173406,603500
2010-02-01 00:00:00+00:00,9.57,9.83,9.57,9.82,35.6901709503,630600
2010-02-02 00:00:00+00:00,9.82,9.95,9.78,9.9,35.9809259071,636600
2010-02-03 00:00:00+00:00,9.9,10.035,9.83,9.89,35.9445815375,684700
2010-02-04 00:00:00+00:00,9.79,9.79,9.26,9.26,33.6548862525,936800
2010-02-05 00:00:00+00:00,9.27,9.3399,9.05,9.3,33.8002637309,1177500
2010-02-08 00:00:00+00:00,9.32,9.38,9.15,9.15,33.2550981869,306600
2010-02-09 00:00:00+00:00,9.36,9.3999,9.22,9.24,33.5821975133,1792300
2010-02-10 00:00:00+00:00,9.32,9.36,9.13,9.34,33.9456412093,650500
2010-02-11 00:00:00+00:00,9.3,9.55,9.28,9.55,34.708872971,288800
2010-02-12 00:00:00+00:00,9.49,9.6,9.3,9.6,34.890594819,559900
2010-02-16 00:00:00+00:00,9.64,9.8399,9.62,9.78,35.5447934719,294600
2010-02-17 00:00:00+00:00,9.82,9.92,9.74,9.8,35.6174822111,244700
2010-02-18 00:00:00+00:00,9.81,9.86,9.78,9.83,35.7265153199,312700
2010-02-19 00:00:00+00:00,9.76,9.7782,9.67,9.7,35.254038515,219200
2010-02-22 00:00:00+00:00,9.76,9.77,9.66,9.68,35.1813497758,188400
2010-02-23 00:00:00+00:00,9.65,9.67,9.44,9.46,34.3817736446,208000
2010-02-24 00:00:00+00:00,9.47,9.5383,9.39,9.39,34.1273630573,492800
2010-02-25 00:00:00+00:00,9.26,9.49,9.23,9.49,34.4908067534,350700
2010-02-26 00:00:00+00:00,9.46,9.5,9.35,9.38,34.0910186877,278600
2010-03-01 00:00:00+00:00,9.41,9.55,9.41,9.54,34.6725286014,296800
2010-03-02 00:00:00+00:00,9.54,9.69,9.54,9.61,34.9269391886,239700
2010-03-03 00:00:00+00:00,9.65,9.83,9.6,9.69,35.2176941454,342100
2010-03-04 00:00:00+00:00,9.73,9.8,9.64,9.66,35.1086610366,255800
2010-03-05 00:00:00+00:00,9.71,9.86,9.7,9.81,35.6538265807,295400
