datetime,Open,High,Low,Close,Adj Close,Volume
2010-01-04 00:00:00+00:00,0.738,0.759,0.7,0.7,7.0,537000
2010-01-05 00:00:00+00:00,0.728,0.73,0.691,0.7,7.0,1255000
2010-01-06 00:00:00+00:00,0.69,0.6901,0.66,0.6651,6.651,1879000
2010-01-07 00:00:00+00:00,0.68,0.68,0.65,0.6699,6.699,1365000
2010-01-08 00:00:00+00:00,0.689,0.71,0.67,0.6813,6.813,1503000
2010-01-11 00:00:00+00:00,0.6989,0.705,0.68,0.6802,6.802,691000
2010-01-12 00:00:00+00:00,0.69,0.7,0.675,0.68,6.8,515000
2010-01-13 00:00:00+00:00,0.6661,0.685,0.66,0.66,6.6,635000
2010-01-14 00:00:00+00:00,0.67,0.69,0.663,0.67,6.7,483000
2010-01-15 00:00:00+00:00,0.69,0.69,0.64,0.662,6.62,1598000
2010-01-19 00:00:00+00:00,0.682,0.682,0.64,0.6488,6.488,930000
2010-01-20 00:00:00+00:00,0.66,0.6601,0.641,0.6431,6.431,431000
2010-01-21 00:00:00+00:00,0.65,0.6588,0.58,0.603,6.03,994000
2010-01-22 00:00:00+00:00,0.61,0.61,0.543,0.5701,5.701,1125000
2010-01-25 00:00:00+00:00,0.58,0.5999,0.57,0.574,5.74,815000
2010-01-26 00:00:00+00:00,0.57,0.597,0.57,0.57,5.7,321000
2010-01-27 00:00:00+00:00,0.57,0.6,0.561,0.583,5.83,452000
2010-01-28 00:00:00+00:00,0.575,0.5911,0.5605,0.566,5.66,360000
2010-01-29 00:00:00+00:00,0.57,0.59,0.57,0.58,5.8,332000
2010-02-01 00:00:00+00:00,0.59,0.59,0.57,0.58,5.8,224000
2010-02-02 00:00:00+00:00,0.57,0.5801,0.5611,0.5788,5.788,492000
2010-02-03 00:00:00+00:00,0.57,0.5798,0.56,0.56,5.6,416000
2010-02-04 00:00:00+00:00,0.561,0.65,0.545,0.5612,5.612,2348000
2010-02-05 00:00:00+00:00,0.56,0.57,0.501,0.524,5.24,1296000
2010-02-08 00:00:00+00:00,0.53,0.5498,0.5,0.5389,5.389,450000
2010-02-09 00:00:00+00:00,0.51,0.53,0.508,0.524,5.24,317000
2010-02-10 00:00:00+00:00,0.5,0.53,0.5,0.52,5.2,377000
