datetime,Open,High,Low,Close,Adj Close,Volume
2015-08-05 00:00:00+00:00,13.06,13.31,10.4,10.77,10.77,14096975
2015-08-06 00:00:00+00:00,11.0,11.2,8.23,8.77,8.77,3570430
2015-08-07 00:00:00+00:00,9.19,10.2,8.77,10.14,10.14,1624299
2015-08-10 00:00:00+00:00,10.73,10.73,10.0,10.12,10.12,435917
2015-08-11 00:00:00+00:00,10.0,10.03,9.5,9.79,9.79,349732
2015-08-12 00:00:00+00:00,9.68,10.4,9.653,10.35,10.35,498848
2015-08-13 00:00:00+00:00,10.07,10.3375,10.05,10.12,10.12,397532
2015-08-14 00:00:00+00:00,10.01,10.17,9.73,10.04,10.04,410627
2015-08-17 00:00:00+00:00,10.04,10.26,9.96,10.13,10.13,345981
2015-08-18 00:00:00+00:00,10.0,10.34,10.0,10.24,10.24,277660
2015-08-19 00:00:00+00:00,10.3,11.03,10.1729,10.73,10.73,573974
2015-08-20 00:00:00+00:00,10.55,10.74,10.0,10.52,10.52,322202
2015-08-21 00:00:00+00:00,10.2,10.56,9.81,9.9,9.9,394905
2015-08-24 00:00:00+00:00,9.39,9.7,8.5,9.16,9.16,1052358
2015-08-25 00:00:00+00:00,9.68,10.21,9.65,9.9,9.9,834045
2015-08-26 00:00:00+00:00,10.03,10.8,9.99,10.78,10.78,791030
2015-08-27 00:00:00+00:00,10.91,11.14,10.83,11.0,11.0,569437
2015-08-28 00:00:00+00:00,11.18,11.85,10.95,11.62,11.62,450552
2015-08-31 00:00:00+00:00,11.86,12.2399,11.4,11.88,11.88,617224
2015-09-01 00:00:00+00:00,11.49,12.0,11.2501,11.86,11.86,745718
2015-09-02 00:00:00+00:00,12.0,12.15,10.5001,11.59,11.59,510192
2015-09-03 00:00:00+00:00,11.48,11.9,11.1001,11.64,11.64,219773
2015-09-04 00:00:00+00:00,11.56,11.63,11.03,11.56,11.56,171540
2015-09-08 00:00:00+00:00,12.0,12.0,10.91,11.55,11.55,708979
2015-09-09 00:00:00+00:00,11.75,11.9,11.15,11.39,11.39,334751
2015-09-10 00:00:00+00:00,11.44,11.87,11.44,11.69,11.69,369136
2015-09-11 00:00:00+00:00,11.5,11.69,11.25,11.5,11.5,427336
2015-09-14 00:00:00+00:00,11.41,11.51,10.94,11.25,11.25,405633
2015-09-15 00:00:00+00:00,11.18,11.495,11.0,11.49,11.49,346668
2015-09-16 00:00:00+00:00,11.4,11.5,11.0,11.31,11.31,323084
2015-09-17 00:00:00+00:00,11.24,11.64,11.24,11.4,11.4,314387
2015-09-18 00:00:00+00:00,11.3,11.9,11.11,11.58,11.58,1343311
2015-09-21 00:00:00+00:00,11.69,11.9,11.33,11.74,11.74,299565
2015-09-22 00:00:00+00:00,11.6,11.9,11.25,11.39,11.39,431990
2015-09-23 00:00:00+00:00,11.75,11.75,10.97,11.01,11.01,286986
2015-09-24 00:00:00+00:00,10.88,11.0,10.74,10.81,10.81,268558
2015-09-25 00:00:00+00:00,10.88,11.32,10.79,11.13,11.13,351627
2015-09-28 00:00:00+00:00,11.04,11.34,10.01,10.06,10.06,590291
2015-09-29 00:00:00+00:00,10.14,10.43,9.53,9.81,9.81,1040805
2015-09-30 00:00:00+00:00,9.9,10.74,9.7102,10.37,10.37,3454469
2015-10-01 00:00:00+00:00,10.38,11.08,9.98,10.3,10.3,491872
2015-10-02 00:00:00+00:00,10.13,10.69,9.94,10.51,10.51,288250
2015-10-05 00:00:00+00:00,10.71,10.97,10.51,10.66,10.66,290295
2015-10-06 00:00:00+00:00,10.65,11.23,10.64,11.05,11.05,338887
2015-10-07 00:00:00+00:00,11.08,11.47,10.57,11.19,11.19,448457
2015-10-08 00:00:00+00:00,11.29,11.41,11.0,11.39,11.39,137893
2015-10-09 00:00:00+00:00,11.42,11.6,11.22,11.26,11.26,184033
2015-10-12 00:00:00+00:00,11.31,11.31,10.75,10.78,10.78,144290
2015-10-13 00:00:00+00:00,10.67,10.93,10.58,10.69,10.69,156660
2015-10-14 00:00:00+00:00,10.65,10.96,10.54,10.74,10.74,196271
2015-10-15 00:00:00+00:00,10.85,10.9999,10.36,10.6,10.6,266287
2015-10-16 00:00:00+00:00,10.68,10.7,10.31,10.34,10.34,158423
2015-10-19 00:00:00+00:00,10.28,10.34,9.65,9.81,9.81,338741
2015-10-20 00:00:00+00:00,9.81,9.8499,9.48,9.5,9.5,220248
2015-10-21 00:00:00+00:00,9.5,9.5699,8.52,8.94,8.94,597257
2015-10-22 00:00:00+00:00,9.03,9.19,8.81,8.9,8.9,605372
2015-10-23 00:00:00+00:00,8.84,9.34,8.8342,9.08,9.08,398649
2015-10-26 00:00:00+00:00,9.03,9.23,8.9,9.21,9.21,169614
2015-10-27 00:00:00+00:00,9.13,9.3999,8.89,9.04,9.04,260302
2015-10-28 00:00:00+00:00,9.05,9.435,9.05,9.42,9.42,208079
2015-10-29 00:00:00+00:00,9.22,9.39,8.88,8.91,8.91,214253
2015-10-30 00:00:00+00:00,8.81,8.83,7.0,7.41,7.41,2015630
