datetime,Open,High,Low,Close,Adj Close,Volume
2010-01-04 00:00:00+00:00,59.68,60.31,59.66,60.2,27.1414835655,382300
2010-01-05 00:00:00+00:00,60.58,60.71,60.04,60.22,27.1505006697,392700
2010-01-06 00:00:00+00:00,59.94,60.06,59.6,59.77,26.9476158258,1242400
2010-01-07 00:00:00+00:00,59.3,59.58,58.93,59.52,26.8349020236,426100
2010-01-08 00:00:00+00:00,58.95,59.29,58.72,59.24,26.7086625651,730100
2010-01-11 00:00:00+00:00,60.23,60.28,59.95,60.14,27.114432253,1024200
2010-01-12 00:00:00+00:00,58.75,59.33,58.6,58.93,26.5688974504,2077800
2010-01-13 00:00:00+00:00,58.65,58.97,58.31,58.82,26.5193033775,2175100
2010-01-14 00:00:00+00:00,58.47,59.1,58.44,58.91,26.5598803462,1996600
2010-01-15 00:00:00+00:00,58.89,58.94,58.0,58.44,26.3479783981,947100
2010-01-19 00:00:00+00:00,58.26,59.57,58.26,59.57,26.857444784,802400
2010-01-20 00:00:00+00:00,58.19,58.38,57.69,58.33,26.2983843252,546800
2010-01-21 00:00:00+00:00,58.11,58.29,56.75,57.09,25.7393238664,419100
2010-01-22 00:00:00+00:00,56.34,56.63,55.47,55.49,25.0179555324,572200
2010-01-25 00:00:00+00:00,56.12,56.4,55.82,56.11,25.2974857618,304200
2010-01-26 00:00:00+00:00,55.77,56.5,55.48,56.0,25.2478916888,630700
2010-01-27 00:00:00+00:00,55.5,55.75,55.05,55.72,25.1216522304,296900
2010-01-28 00:00:00+00:00,55.14,55.14,53.89,54.38,24.5175062507,693600
2010-01-29 00:00:00+00:00,54.29,54.56,53.23,53.38,24.066651042,854800
2010-02-01 00:00:00+00:00,54.01,54.61,53.84,54.53,24.585134532,674700
2010-02-02 00:00:00+00:00,54.22,55.41,53.96,55.34,24.9503272511,2139600
2010-02-03 00:00:00+00:00,54.83,55.13,54.46,54.59,24.6121858445,370500
2010-02-04 00:00:00+00:00,53.03,53.07,52.32,52.32,23.5887445207,1672800
2010-02-05 00:00:00+00:00,52.27,52.46,51.3,52.41,23.6293214895,2237100
2010-02-08 00:00:00+00:00,52.21,52.98,51.9,51.9,23.3993853331,418100
2010-02-09 00:00:00+00:00,52.37,53.62,52.26,53.14,23.9584457919,922600
2010-02-10 00:00:00+00:00,52.02,52.14,51.55,51.85,23.7555609479,994500
2010-02-11 00:00:00+00:00,52.65,53.59,52.23,53.49,24.5069422393,736400
2010-02-12 00:00:00+00:00,52.33,52.63,52.22,52.53,24.0671092882,1268000
2010-02-16 00:00:00+00:00,52.52,53.87,52.52,53.65,24.5802477311,376500
2010-02-17 00:00:00+00:00,53.72,53.85,53.17,53.33,24.4336367474,370800
2010-02-18 00:00:00+00:00,53.47,54.0,53.39,53.89,24.6902059689,348800
2010-02-19 00:00:00+00:00,53.28,53.84,53.09,53.75,24.6260636635,405200
2010-02-22 00:00:00+00:00,53.74,53.84,53.35,53.58,24.5481765784,332400
2010-02-23 00:00:00+00:00,53.26,53.38,52.51,52.59,24.0945988477,564100
2010-02-24 00:00:00+00:00,52.97,53.59,52.75,53.38,24.4565447136,661700
2010-02-25 00:00:00+00:00,51.75,52.76,51.59,52.69,24.1404147801,1048100
2010-02-26 00:00:00+00:00,51.88,52.72,51.81,52.62,24.1083436274,1076400
2010-03-01 00:00:00+00:00,52.7,53.34,52.48,53.22,24.3832392218,832000
2010-03-02 00:00:00+00:00,53.19,53.68,53.07,53.33,24.4336367474,1278600
2010-03-03 00:00:00+00:00,53.82,54.56,53.77,54.12,24.7955826134,402800
2010-03-04 00:00:00+00:00,54.24,54.43,53.62,53.93,24.7085323418,611000
2010-03-05 00:00:00+00:00,54.04,55.04,54.03,54.93,25.1666916658,566200
2010-03-08 00:00:00+00:00,55.0,55.19,54.7,54.89,25.1483652928,515700
2010-03-09 00:00:00+00:00,54.51,55.2,54.45,55.05,25.2216707847,255200
2010-03-10 00:00:00+00:00,55.1,55.75,55.0,55.24,25.3087210562,738000
2010-03-11 00:00:00+00:00,55.46,55.78,55.27,55.75,25.5423823114,568500
2010-03-12 00:00:00+00:00,56.28,56.33,55.96,56.03,25.6706669222,644800
2010-03-15 00:00:00+00:00,55.74,55.83,55.19,55.58,25.4644952264,327200
2010-03-16 00:00:00+00:00,56.35,56.83,56.09,56.79,26.0188680084,344200
2010-03-17 00:00:00+00:00,57.66,57.93,57.51,57.63,26.4037218405,409800
2010-03-18 00:00:00+00:00,57.8,57.84,57.12,57.36,26.280018823,846000
2010-03-19 00:00:00+00:00,56.13,56.91,55.68,56.13,25.7164828545,2360900
2010-03-22 00:00:00+00:00,55.06,55.96,55.01,55.9,25.61110621,329500
2010-03-23 00:00:00+00:00,55.73,56.3,55.61,56.23,25.7622987869,605800
2010-03-24 00:00:00+00:00,55.42,55.53,55.07,55.41,25.3866081413,681800
2010-03-25 00:00:00+00:00,55.19,55.32,54.67,54.68,25.0521518348,813600
2010-03-26 00:00:00+00:00,54.9,55.15,54.76,55.01,25.2033444117,496400
2010-03-29 00:00:00+00:00,54.7,55.22,54.7,55.14,25.2629051238,377200
2010-03-30 00:00:00+00:00,55.27,55.41,54.83,55.07,25.2308339711,371600
2010-03-31 00:00:00+00:00,54.98,55.58,54.91,55.33,25.3499553954,615800
2010-04-01 00:00:00+00:00,55.68,56.3,55.68,56.3,25.7943699396,724600
2010-04-05 00:00:00+00:00,56.55,57.21,56.37,57.2,26.2067133312,938400
2010-04-06 00:00:00+00:00,56.5,57.12,56.38,57.07,26.1471526191,1533600
2010-04-07 00:00:00+00:00,56.94,56.98,56.32,56.44,25.858512245,673300
2010-04-08 00:00:00+00:00,56.0,57.04,55.87,56.98,26.1059182799,889800
2010-04-09 00:00:00+00:00,57.75,58.53,57.74,58.46,26.7839940794,525200
2010-04-12 00:00:00+00:00,58.36,58.73,58.31,58.39,26.7519229267,282700
2010-04-13 00:00:00+00:00,58.64,58.66,57.95,58.37,26.7427597402,461700
2010-04-14 00:00:00+00:00,59.36,59.69,59.3,59.64,27.3246220817,399000
2010-04-15 00:00:00+00:00,59.4,59.75,59.32,59.64,27.3246220817,302400
2010-04-16 00:00:00+00:00,59.36,59.61,58.48,58.86,26.967257809,567800
2010-04-19 00:00:00+00:00,58.08,58.9,58.06,58.84,26.9580946225,578100
2010-04-20 00:00:00+00:00,59.63,59.74,59.46,59.6,27.3062957087,363600
2010-04-21 00:00:00+00:00,59.64,59.75,59.25,59.46,27.2421534034,716900
2010-04-22 00:00:00+00:00,58.51,59.01,58.22,58.91,26.9901657752,672800
2010-04-23 00:00:00+00:00,58.54,59.79,58.51,59.79,27.3933459803,527900
2010-04-26 00:00:00+00:00,59.22,59.64,59.11,59.12,27.0863792332,354600
2010-04-27 00:00:00+00:00,59.4,60.1,58.83,58.89,26.9810025887,648200
2010-04-28 00:00:00+00:00,60.51,60.56,59.68,60.55,27.7415470665,1032000
2010-04-29 00:00:00+00:00,59.62,60.34,59.43,59.85,27.4208355397,1287500
2010-04-30 00:00:00+00:00,61.08,61.11,60.42,60.68,27.8011077786,880200
2010-05-03 00:00:00+00:00,59.98,60.6,59.67,60.15,27.5582833369,783400
2010-05-04 00:00:00+00:00,58.2,58.38,57.5,58.22,26.6740358417,1639700
2010-05-05 00:00:00+00:00,55.62,56.2,55.29,55.52,25.8218594991,865300
2010-05-06 00:00:00+00:00,54.72,55.11,51.24,53.75,24.9986482002,1649100
2010-05-07 00:00:00+00:00,52.58,53.26,51.03,52.3,24.3242660627,2759000
2010-05-10 00:00:00+00:00,54.7,55.09,54.14,54.57,25.3800229262,1310800
2010-05-11 00:00:00+00:00,53.82,54.98,53.6,54.16,25.1893355632,628600
2010-05-12 00:00:00+00:00,53.94,54.53,53.8,54.34,25.2730519665,854900
2010-05-13 00:00:00+00:00,53.6,54.0,53.21,53.27,24.7754044581,450200
2010-05-14 00:00:00+00:00,52.88,53.0,51.76,52.55,24.440538845,751600
2010-05-17 00:00:00+00:00,52.16,52.47,51.11,52.29,24.3196151514,917700
2010-05-18 00:00:00+00:00,52.59,52.62,50.91,51.12,23.7754585301,991300
2010-05-19 00:00:00+00:00,51.12,51.96,50.61,51.74,24.0638150303,2152200
2010-05-20 00:00:00+00:00,50.7,51.87,49.66,50.51,23.4917529412,1908300
2010-05-21 00:00:00+00:00,49.74,51.03,49.61,50.96,23.7010439494,1186100
2010-05-24 00:00:00+00:00,49.6,50.07,49.27,49.27,22.9150399409,823400
2010-05-25 00:00:00+00:00,48.41,49.98,48.17,49.94,23.2266509975,1111500
2010-05-26 00:00:00+00:00,49.24,49.79,48.56,48.73,22.6638907311,1022700
2010-05-27 00:00:00+00:00,49.9,51.21,49.85,51.19,23.8080149092,602100
2010-05-28 00:00:00+00:00,51.44,51.51,50.38,50.64,23.552214788,466200
2010-06-01 00:00:00+00:00,50.86,51.8,50.35,50.4,23.440592917,740000
2010-06-02 00:00:00+00:00,50.64,51.95,50.45,51.91,24.1428805223,1173200
2010-06-03 00:00:00+00:00,52.24,52.44,51.65,52.11,24.2358987481,821800
2010-06-04 00:00:00+00:00,50.98,51.18,49.65,49.99,23.249905554,628100
2010-06-07 00:00:00+00:00,50.17,50.5,49.39,49.39,22.9708508764,439000
2010-06-08 00:00:00+00:00,49.1,49.98,48.57,49.88,23.1987455298,680300
2010-06-09 00:00:00+00:00,49.48,50.08,48.8,48.94,22.7615598682,1027500
2010-06-10 00:00:00+00:00,49.35,50.26,49.31,50.26,23.3754801589,2508100
2010-06-11 00:00:00+00:00,49.47,50.51,49.39,50.35,23.4173383606,555600
2010-06-14 00:00:00+00:00,50.55,51.17,50.4,50.4,23.440592917,546000
2010-06-15 00:00:00+00:00,51.22,51.96,51.07,51.9,24.138229611,649300
2010-06-16 00:00:00+00:00,51.84,52.7,51.74,52.33,24.3382187966,798100
2010-06-17 00:00:00+00:00,52.42,52.71,51.94,52.62,24.4730952241,409800
2010-06-18 00:00:00+00:00,52.4,52.46,52.02,52.31,24.328916974,1766700
2010-06-21 00:00:00+00:00,52.79,53.24,52.13,52.35,24.3475206192,511200
2010-06-22 00:00:00+00:00,52.15,52.68,51.67,51.8,24.091720498,927900
2010-06-23 00:00:00+00:00,51.86,52.32,51.45,51.91,24.1428805223,479600
2010-06-24 00:00:00+00:00,51.25,51.36,50.59,50.74,23.598723901,974500
2010-06-25 00:00:00+00:00,50.35,51.01,50.07,50.69,23.5754693445,867200
2010-06-28 00:00:00+00:00,50.86,51.43,50.7,50.93,23.6870912155,701800
2010-06-29 00:00:00+00:00,49.87,49.9,49.06,49.24,22.901087207,1368600
2010-06-30 00:00:00+00:00,48.84,49.38,48.23,48.28,22.4545997229,710800
2010-07-01 00:00:00+00:00,47.85,48.01,47.12,47.43,22.059272263,1473100
2010-07-02 00:00:00+00:00,48.19,48.44,47.6,48.02,22.3336760293,1869400
2010-07-06 00:00:00+00:00,48.48,48.96,48.0,48.34,22.4825051906,1101100
2010-07-07 00:00:00+00:00,48.1,49.49,48.06,49.46,23.0034072555,920100
2010-07-08 00:00:00+00:00,50.64,51.12,50.35,51.03,23.7336003285,1104400
2010-07-09 00:00:00+00:00,50.73,51.3,50.68,51.3,23.8591749334,1176500
2010-07-12 00:00:00+00:00,50.82,51.39,50.8,51.09,23.7615057962,927700
2010-07-13 00:00:00+00:00,52.19,52.89,51.97,52.73,24.5242552483,1026400
2010-07-14 00:00:00+00:00,53.11,53.63,53.02,53.22,24.7521499017,470100
2010-07-15 00:00:00+00:00,53.54,53.89,52.95,53.82,25.0312045792,939100
2010-07-16 00:00:00+00:00,53.74,53.77,52.5,52.54,24.4358879337,489800
2010-07-19 00:00:00+00:00,53.12,53.19,52.48,52.79,24.5521607161,327600
2010-07-20 00:00:00+00:00,51.61,52.79,51.58,52.65,24.487047958,631100
2010-07-21 00:00:00+00:00,52.74,52.76,51.52,51.83,24.1056732319,849400
2010-07-22 00:00:00+00:00,53.22,53.94,53.21,53.61,24.9335354421,809900
2010-07-23 00:00:00+00:00,53.79,54.64,53.58,54.4,25.3009574342,632600
2010-07-26 00:00:00+00:00,54.17,54.61,54.03,54.45,25.3242119907,410700
2010-07-27 00:00:00+00:00,54.57,54.78,54.19,54.69,25.4358338617,605700
2010-07-28 00:00:00+00:00,54.05,54.31,53.4,53.49,24.8777245066,863300
2010-07-29 00:00:00+00:00,54.32,54.49,53.24,53.76,25.0032991115,638900
2010-07-30 00:00:00+00:00,52.97,54.04,52.96,53.42,24.8451681275,1202200
2010-08-02 00:00:00+00:00,55.19,56.02,54.93,55.89,25.9939432169,584700
2010-08-03 00:00:00+00:00,56.04,56.51,55.8,56.42,26.2404415154,548100
2010-08-04 00:00:00+00:00,55.65,56.09,55.47,55.83,26.3567142978,730400
2010-08-05 00:00:00+00:00,55.62,55.68,55.14,55.59,26.2434130004,449100
2010-08-06 00:00:00+00:00,55.22,55.87,55.0,55.83,26.3567142978,387800
2010-08-09 00:00:00+00:00,56.4,56.46,55.51,56.18,26.5219453564,488700
2010-08-10 00:00:00+00:00,55.43,56.36,54.95,56.12,26.4936200321,726600
2010-08-11 00:00:00+00:00,54.3,54.3,53.85,54.05,25.5163963424,892700
2010-08-12 00:00:00+00:00,53.15,53.9,53.08,53.64,25.3228399594,443300
2010-08-13 00:00:00+00:00,53.3,54.02,53.3,53.74,25.3700488333,331700
2010-08-16 00:00:00+00:00,53.01,53.74,52.93,53.56,25.2850728603,412000
2010-08-17 00:00:00+00:00,54.49,54.55,54.03,54.29,25.6296976397,267000
