datetime,Open,High,Low,Close,Adj Close,Volume
2010-01-04 00:00:00+00:00,10.56,10.66,10.4,10.641,1362.048,23799200
2010-01-05 00:00:00+00:00,10.54,10.57,10.19,10.32,1320.96,23004800
2010-01-06 00:00:00+00:00,10.5896,10.9514,10.55,10.83,1386.24,40648800
2010-01-07 00:00:00+00:00,10.73,10.96,10.44,10.61,1358.08,41933600
2010-01-08 00:00:00+00:00,10.3,10.43,10.28,10.41,1332.48,27952800
2010-01-11 00:00:00+00:00,10.05,10.13,9.78,9.93,1271.04,51359200
2010-01-12 00:00:00+00:00,10.02,10.15,9.95,10.098,1292.544,36800000
2010-01-13 00:00:00+00:00,9.95,10.46,9.86,10.36,1326.08,40100000
2010-01-14 00:00:00+00:00,10.42,10.48,9.95,10.09,1291.52,57944800
2010-01-15 00:00:00+00:00,10.21,10.35,10.19,10.24,1310.72,46240800
2010-01-19 00:00:00+00:00,10.0,10.26,9.87,10.09,1291.52,32028800
2010-01-20 00:00:00+00:00,9.97,10.01,9.9,9.92,1269.76,20603200
2010-01-21 00:00:00+00:00,10.13,10.27,9.9,10.08,1290.24,28312000
2010-01-22 00:00:00+00:00,10.34,10.51,10.26,10.35,1324.8,46348000
2010-01-25 00:00:00+00:00,10.23,10.48,10.2,10.25,1312.0,22204000
2010-01-26 00:00:00+00:00,9.96,10.04,9.78,9.84,1259.52,37935200
2010-01-27 00:00:00+00:00,9.65,9.67,9.4,9.49,1214.72,30953600
2010-01-28 00:00:00+00:00,9.39,9.48,9.22,9.39,1201.92,26602400
2010-01-29 00:00:00+00:00,9.55,9.56,9.24,9.31,1191.68,20086400
2010-02-01 00:00:00+00:00,9.68,9.85,9.65,9.8,1254.4,33396000
2010-02-02 00:00:00+00:00,9.83,10.02,9.74,9.87,1263.36,38328800
2010-02-03 00:00:00+00:00,10.0,10.06,9.78,9.82,1256.96,25364000
2010-02-04 00:00:00+00:00,9.82,9.89,9.48,9.83,1258.24,23515200
2010-02-05 00:00:00+00:00,10.0903,10.13,9.75,10.0,1280.0,28799200
2010-02-08 00:00:00+00:00,10.15,10.2,9.77,9.81,1255.68,22091200
2010-02-09 00:00:00+00:00,9.74,9.76,9.54,9.62,1231.36,25036000
2010-02-10 00:00:00+00:00,9.68,9.7,9.5,9.61,1230.08,18249600
2010-02-11 00:00:00+00:00,9.73,9.78,9.57,9.73,1245.44,15213600
2010-02-12 00:00:00+00:00,9.72,10.03,9.52,9.86,1262.08,27396800
2010-02-16 00:00:00+00:00,9.95,9.9975,9.6305,9.73,1245.44,20656800
2010-02-17 00:00:00+00:00,9.59,9.7899,9.59,9.71,1242.88,14068800
2010-02-18 00:00:00+00:00,9.65,9.69,9.33,9.42,1205.76,40776800
2010-02-19 00:00:00+00:00,9.19,9.26,9.13,9.19,1176.32,26193600
2010-02-22 00:00:00+00:00,8.98,9.01,8.85,9.01,1153.28,32083200
2010-02-23 00:00:00+00:00,8.86,9.1833,8.76,8.8,1126.4,27464800
2010-02-24 00:00:00+00:00,8.94,8.97,8.77,8.87,1135.36,21660800
2010-02-25 00:00:00+00:00,8.74,8.82,8.63,8.7,1113.6,27588000
2010-02-26 00:00:00+00:00,8.76,8.81,8.6387,8.7,1113.6,21706400
2010-03-01 00:00:00+00:00,8.73,8.84,8.49,8.53,1091.84,25609600
2010-03-02 00:00:00+00:00,8.6,8.63,8.46,8.58,1098.24,19568800
2010-03-03 00:00:00+00:00,8.59,8.695,8.58,8.65,1107.2,11396000
2010-03-04 00:00:00+00:00,8.66,8.68,8.28,8.33,1066.24,30587200
2010-03-05 00:00:00+00:00,8.35,8.37,8.29,8.35,1068.8,18652800
2010-03-08 00:00:00+00:00,8.17,8.27,8.11,8.26,1057.28,22419200
2010-03-09 00:00:00+00:00,8.3,8.33,8.13,8.19,1048.32,14302400
2010-03-10 00:00:00+00:00,8.11,8.33,8.09,8.33,1066.24,20504000
2010-03-11 00:00:00+00:00,8.19,8.28,8.03,8.06,1031.68,28459200
2010-03-12 00:00:00+00:00,8.09,8.1,7.95,7.97,1020.16,22875200
2010-03-15 00:00:00+00:00,7.95,8.08,7.92,7.98,1021.44,25109600
2010-03-16 00:00:00+00:00,7.93,7.93,7.85,7.9,1011.2,21888000
2010-03-17 00:00:00+00:00,7.82,7.83,7.77,7.77,994.56,24047200
2010-03-18 00:00:00+00:00,7.75,7.757,7.35,7.39,945.92,49117600
2010-03-19 00:00:00+00:00,7.4,7.55,7.38,7.52,962.56,22668000
2010-03-22 00:00:00+00:00,7.35,7.54,7.34,7.39,945.92,19195200
2010-03-23 00:00:00+00:00,7.4,7.7077,7.37,7.48,957.44,18315200
2010-03-24 00:00:00+00:00,7.38,7.48,7.37,7.38,944.64,13362400
2010-03-25 00:00:00+00:00,7.3,7.31,7.11,7.16,916.48,34504000
2010-03-26 00:00:00+00:00,7.16,7.245,7.0,7.0,896.0,21358400
2010-03-29 00:00:00+00:00,7.09,7.19,6.98,7.03,899.84,29987200
2010-03-30 00:00:00+00:00,6.9,7.13,6.89,7.1,908.8,22096000
2010-03-31 00:00:00+00:00,7.13,7.16,6.9,6.91,884.48,27447200
2010-04-01 00:00:00+00:00,6.91,7.41,6.82,7.29,933.12,51994400
2010-04-05 00:00:00+00:00,7.27,7.66,7.23,7.66,980.48,34189600
2010-04-06 00:00:00+00:00,7.56,7.65,7.26,7.35,940.8,38796000
2010-04-07 00:00:00+00:00,7.31,7.39,7.16,7.16,916.48,26036000
2010-04-08 00:00:00+00:00,7.09,7.31,6.89,7.0,896.0,41268800
2010-04-09 00:00:00+00:00,7.07,7.32,7.06,7.28,931.84,25516800
2010-04-12 00:00:00+00:00,7.25,7.45,7.02,7.15,915.2,43116000
2010-04-13 00:00:00+00:00,7.18,7.43,7.04,7.38,944.64,28866400
2010-04-14 00:00:00+00:00,7.44,7.6,7.41,7.47,956.16,24164000
2010-04-15 00:00:00+00:00,7.46,7.515,7.08,7.15,915.2,39018400
2010-04-16 00:00:00+00:00,7.17,7.3,7.1,7.18,919.04,27476800
2010-04-19 00:00:00+00:00,7.17,7.25,6.95,7.06,903.68,28632800
2010-04-20 00:00:00+00:00,6.98,7.12,6.92,7.09,907.52,21159200
2010-04-21 00:00:00+00:00,7.06,7.2,7.01,7.08,906.24,16273600
2010-04-22 00:00:00+00:00,7.04,7.38,7.0,7.33,938.24,21554400
2010-04-23 00:00:00+00:00,7.3,7.68,7.3,7.58,970.24,36924800
2010-04-26 00:00:00+00:00,7.54,7.65,7.43,7.59,971.52,23208000
2010-04-27 00:00:00+00:00,7.56,7.64,7.48,7.54,965.12,20582400
2010-04-28 00:00:00+00:00,7.59,7.72,7.5,7.6,972.8,22377600
2010-04-29 00:00:00+00:00,7.51,7.51,6.93,6.99,894.72,80738400
2010-04-30 00:00:00+00:00,6.99,7.01,6.79,6.86,878.08,35477600
2010-05-03 00:00:00+00:00,6.83,7.0,6.83,6.98,893.44,20140800
2010-05-04 00:00:00+00:00,6.97,7.03,6.91,7.0093,897.1904,18953600
2010-05-05 00:00:00+00:00,7.02,7.04,6.85,6.94,888.32,16716000
2010-05-06 00:00:00+00:00,6.9,7.04,6.72,6.812,871.936,39189600
2010-05-07 00:00:00+00:00,6.92,7.04,6.81,6.96,890.88,34825600
2010-05-10 00:00:00+00:00,7.225,7.38,7.16,7.28,931.84,36292800
2010-05-11 00:00:00+00:00,7.2,7.3601,7.18,7.25,928.0,21251200
2010-05-12 00:00:00+00:00,7.35,7.48,7.315,7.442,952.576,32239200
2010-05-13 00:00:00+00:00,7.42,7.69,7.25,7.51,961.28,45160000
2010-05-14 00:00:00+00:00,7.51,7.56,7.41,7.51,961.28,16167200
2010-05-17 00:00:00+00:00,7.6,7.67,7.45,7.63,976.64,24138400
2010-05-18 00:00:00+00:00,7.75,7.79,7.48,7.54,965.12,30743200
2010-05-19 00:00:00+00:00,7.43,7.47,7.2,7.23,925.44,26220800
2010-05-20 00:00:00+00:00,7.12,7.31,7.05,7.15,915.2,32835200
2010-05-21 00:00:00+00:00,7.13,7.25,6.98,7.03,899.84,23259200
2010-05-24 00:00:00+00:00,6.98,7.04,6.9,6.98,893.44,22497600
2010-05-25 00:00:00+00:00,6.92,7.08,6.88,7.04,901.12,14947200
2010-05-26 00:00:00+00:00,7.15,7.35,7.1,7.12,911.36,23563200
2010-05-27 00:00:00+00:00,7.24,7.35,7.08,7.33,938.24,38905600
2010-05-28 00:00:00+00:00,7.35,7.5,7.2901,7.43,951.04,23336000
2010-06-01 00:00:00+00:00,7.53,7.54,7.2,7.2,921.6,22772800
2010-06-02 00:00:00+00:00,7.32,7.58,7.26,7.55,966.4,30284000
2010-06-03 00:00:00+00:00,7.52,8.0366,7.49,8.01,1025.28,55072800
2010-06-04 00:00:00+00:00,8.02,8.47,7.99,8.18,1047.04,68815200
2010-06-07 00:00:00+00:00,8.14,8.42,8.13,8.4,1075.2,33712800
2010-06-08 00:00:00+00:00,8.3,8.35,8.09,8.18,1047.04,32744800
2010-06-09 00:00:00+00:00,8.15,8.2,7.95,7.98,1021.44,21387200
2010-06-10 00:00:00+00:00,8.07,8.19,7.89,7.99,1022.72,36709600
2010-06-11 00:00:00+00:00,8.1,8.21,8.02,8.17,1045.76,18800000
2010-06-14 00:00:00+00:00,8.4,8.58,8.2801,8.55,1094.4,31696000
2010-06-15 00:00:00+00:00,8.68,8.84,8.61,8.83,1130.24,29841600
2010-06-16 00:00:00+00:00,8.68,8.69,8.46,8.49,1086.72,23672000
2010-06-17 00:00:00+00:00,8.69,8.81,8.49,8.73,1117.44,21304000
2010-06-18 00:00:00+00:00,8.66,8.72,8.5,8.53,1091.84,13786400
2010-06-21 00:00:00+00:00,8.72,8.8,8.2,8.25,1056.0,41242400
2010-06-22 00:00:00+00:00,8.18,8.21,7.97,8.12,1039.36,30293600
2010-06-23 00:00:00+00:00,8.17,8.3,8.12,8.15,1043.2,16796800
2010-06-24 00:00:00+00:00,8.21,8.26,8.0,8.07,1032.96,20595200
2010-06-25 00:00:00+00:00,8.16,8.32,8.15,8.31,1063.68,16332800
2010-06-28 00:00:00+00:00,8.03,8.12,7.97,7.98,1021.44,14639200
2010-06-29 00:00:00+00:00,7.83,7.86,7.62,7.67,981.76,25764800
2010-06-30 00:00:00+00:00,7.66,7.81,7.64,7.75,992.0,18243200
2010-07-01 00:00:00+00:00,7.78,8.3,7.73,8.12,1039.36,28224000
2010-07-02 00:00:00+00:00,8.14,8.16,7.77,7.87,1007.36,22172000
2010-07-06 00:00:00+00:00,8.16,8.26,7.84,7.87,1007.36,18561600
2010-07-07 00:00:00+00:00,7.86,7.89,7.68,7.78,995.84,21653600
2010-07-08 00:00:00+00:00,7.72,7.75,7.35,7.43,951.04,37485600
2010-07-09 00:00:00+00:00,7.41,7.51,7.37,7.44,952.32,12726400
2010-07-12 00:00:00+00:00,7.4,7.49,7.37,7.4,947.2,11147200
2010-07-13 00:00:00+00:00,7.5,7.56,7.3,7.36,942.08,15366400
2010-07-14 00:00:00+00:00,7.34,7.38,7.25,7.28,931.84,12220800
2010-07-15 00:00:00+00:00,7.28,7.78,7.23,7.75,992.0,30012800
2010-07-16 00:00:00+00:00,7.7,7.72,7.52,7.61,974.08,13317600
2010-07-19 00:00:00+00:00,7.61,7.64,7.5,7.6,972.8,13714400
2010-07-20 00:00:00+00:00,7.64,7.74,7.5,7.74,990.72,28753600
2010-07-21 00:00:00+00:00,7.8,7.8,7.53,7.58,970.24,12496000
2010-07-22 00:00:00+00:00,7.76,7.87,7.67,7.76,993.28,19881600
2010-07-23 00:00:00+00:00,7.68,7.78,7.63,7.66,980.48,10378400
2010-07-26 00:00:00+00:00,7.57,7.75,7.55,7.72,988.16,10040800
2010-07-27 00:00:00+00:00,7.8,7.83,7.7,7.82,1000.96,14253600
2010-07-28 00:00:00+00:00,8.065,8.18,7.87,7.89,1009.92,23612000
2010-07-29 00:00:00+00:00,8.1,8.2,7.93,8.11,1038.08,20032000
2010-07-30 00:00:00+00:00,8.09,8.3,8.05,8.26,1057.28,13556800
2010-08-02 00:00:00+00:00,8.22,8.23,7.87,7.93,1015.04,27598400
2010-08-03 00:00:00+00:00,8.03,8.11,7.78,7.87,1007.36,15299200
2010-08-04 00:00:00+00:00,7.81,8.0,7.79,7.95,1017.6,11386400
2010-08-05 00:00:00+00:00,8.03,8.09,7.67,7.76,993.28,25816000
2010-08-06 00:00:00+00:00,7.75,7.76,7.5,7.57,968.96,14040800
2010-08-09 00:00:00+00:00,7.555,7.588,7.18,7.3,934.4,32200800
2010-08-10 00:00:00+00:00,7.32,7.35,7.2,7.26,929.28,15845600
2010-08-11 00:00:00+00:00,7.26,7.36,7.19,7.28,931.84,10799200
2010-08-12 00:00:00+00:00,7.32,7.33,7.17,7.23,925.44,15084000
2010-08-13 00:00:00+00:00,7.24,7.3,7.19,7.29,933.12,9669600
2010-08-16 00:00:00+00:00,7.09,7.14,7.04,7.12,911.36,14499200
2010-08-17 00:00:00+00:00,7.06,7.26,7.04,7.18,919.04,11192000
2010-08-18 00:00:00+00:00,7.11,7.2,7.06,7.13,912.64,10960800
2010-08-19 00:00:00+00:00,7.16,7.31,6.98,7.04,901.12,25520000
2010-08-20 00:00:00+00:00,7.0,7.03,6.92,6.95,889.6,16717600
2010-08-23 00:00:00+00:00,6.83,6.93,6.79,6.86,878.08,19495200
2010-08-24 00:00:00+00:00,6.83,6.8397,6.77,6.81,871.68,8957600
2010-08-25 00:00:00+00:00,6.65,6.67,6.46,6.56,839.68,46752000
2010-08-26 00:00:00+00:00,6.56,6.57,6.4,6.45,825.6,24934400
2010-08-27 00:00:00+00:00,6.41,6.42,6.19,6.24,798.72,35312000
2010-08-30 00:00:00+00:00,6.32,6.49,6.31,6.4,819.2,19428000
2010-08-31 00:00:00+00:00,6.34,6.48,6.24,6.378,816.384,12735200
2010-09-01 00:00:00+00:00,6.26,6.49,6.23,6.269,802.432,21010400
2010-09-02 00:00:00+00:00,6.27,6.4205,6.18,6.36,814.08,26562400
2010-09-03 00:00:00+00:00,6.35,6.6,6.33,6.542,837.376,22491200
2010-09-07 00:00:00+00:00,6.43,6.53,6.38,6.46,826.88,15107200
2010-09-08 00:00:00+00:00,6.4,6.48,6.36,6.38,816.64,14254400
2010-09-09 00:00:00+00:00,6.38,6.4173,6.2,6.34,811.52,25283200
2010-09-10 00:00:00+00:00,6.44,6.59,6.41,6.49,830.72,21748000
2010-09-13 00:00:00+00:00,6.61,6.63,6.48,6.58,842.24,16656000
2010-09-14 00:00:00+00:00,6.68,6.7,6.43,6.6,844.8,22000800
2010-09-15 00:00:00+00:00,6.7,6.77,6.63,6.68,855.04,14150400
2010-09-16 00:00:00+00:00,6.74,6.87,6.44,6.749,863.872,37902400
2010-09-17 00:00:00+00:00,6.78,6.81,6.64,6.68,855.04,14294400
2010-09-20 00:00:00+00:00,6.5,6.51,6.37,6.41,820.48,26171200
2010-09-21 00:00:00+00:00,6.51,6.64,6.47,6.52,834.56,17424000
2010-09-22 00:00:00+00:00,6.62,6.62,6.48,6.56,839.68,12053600
2010-09-23 00:00:00+00:00,6.65,6.76,6.559,6.6305,848.704,16339200
2010-09-24 00:00:00+00:00,6.49,6.49,6.39,6.4285,822.848,19524800
2010-09-27 00:00:00+00:00,6.26,6.28,6.18,6.2405,798.784,29150400
2010-09-28 00:00:00+00:00,6.32,6.3975,6.2501,6.3395,811.456,18600000
2010-09-29 00:00:00+00:00,6.29,6.35,6.23,6.33,810.24,11009600
2010-09-30 00:00:00+00:00,6.21,6.23,6.04,6.168,789.504,36204000
2010-10-01 00:00:00+00:00,6.1,6.17,6.05,6.0695,776.896,23550400
2010-10-04 00:00:00+00:00,6.01,6.03,5.88,5.95,761.6,25836000
2010-10-05 00:00:00+00:00,5.95,6.03,5.89,6.012,769.536,26272800
2010-10-06 00:00:00+00:00,6.09,6.2,6.09,6.1795,790.976,24013600
2010-10-07 00:00:00+00:00,6.08,6.09,5.76,5.77,738.56,58348800
2010-10-08 00:00:00+00:00,5.82,5.85,5.74,5.83,746.24,20175200
2010-10-11 00:00:00+00:00,5.79,5.86,5.72,5.75,736.0,16120000
2010-10-12 00:00:00+00:00,5.71,5.85,5.66,5.81,743.68,30049600
2010-10-13 00:00:00+00:00,5.95,6.03,5.8,5.86,750.08,37480000
2010-10-14 00:00:00+00:00,5.79,6.01,5.74,5.84,747.52,31663200
2010-10-15 00:00:00+00:00,5.76,5.77,5.65,5.679,726.912,29951200
2010-10-18 00:00:00+00:00,5.65,5.67,5.56,5.57,712.96,16889600
2010-10-19 00:00:00+00:00,5.58,5.64,5.56,5.605,717.44,19018400
2010-10-20 00:00:00+00:00,5.62,5.7,5.585,5.61,718.08,13325600
2010-10-21 00:00:00+00:00,5.52,5.55,5.36,5.42,693.76,39488000
2010-10-22 00:00:00+00:00,5.36,5.38,5.27,5.329,682.112,23354400
2010-10-25 00:00:00+00:00,5.27,5.37,5.2,5.34,683.52,19968800
2010-10-26 00:00:00+00:00,5.4,5.48,5.28,5.41,692.48,22833600
2010-10-27 00:00:00+00:00,5.44,5.54,5.36,5.45,697.6,16863200
2010-10-28 00:00:00+00:00,5.43,5.65,5.27,5.63,720.64,37895200
2010-10-29 00:00:00+00:00,5.6,5.84,5.59,5.8215,745.152,30203200
2010-11-01 00:00:00+00:00,5.79,5.81,5.51,5.52,706.56,31656000
2010-11-02 00:00:00+00:00,5.46,5.66,5.43,5.59,715.52,23268800
2010-11-03 00:00:00+00:00,5.56,5.61,5.46,5.52,706.56,16897600
2010-11-04 00:00:00+00:00,5.59,5.59,5.39,5.59,715.52,37251200
2010-11-05 00:00:00+00:00,5.66,5.68,5.54,5.66,724.48,21576800
2010-11-08 00:00:00+00:00,5.8001,5.91,5.7997,5.8925,754.24,34080800
2010-11-09 00:00:00+00:00,5.96,6.09,5.84,6.04,773.12,31419200
2010-11-10 00:00:00+00:00,6.04,6.1,5.78,5.85,748.8,33452800
