datetime,Open,High,Low,Close,Adj Close,Volume
2010-01-04 00:00:00+00:00,17.25,17.94,17.11,17.89,9.771443936,15454500
2010-01-05 00:00:00+00:00,18.12,18.57,17.97,18.35,10.0226940317,17087200
2010-01-06 00:00:00+00:00,18.39,19.02,18.16,18.81,10.2739441273,16896900
2010-01-07 00:00:00+00:00,18.78,19.05,18.3805,18.95,10.3504115477,12077800
2010-01-08 00:00:00+00:00,18.93,18.98,18.525,18.69,10.2084006241,13914200
2010-01-11 00:00:00+00:00,18.86,18.93,18.22,18.51,10.1100853693,10924500
2010-01-12 00:00:00+00:00,18.17,18.28,17.79,18.21,9.9462266112,10643800
2010-01-13 00:00:00+00:00,18.2,18.2,17.66,18.06,9.8642972322,16334700
2010-01-14 00:00:00+00:00,18.06,18.37,17.9,18.27,9.9789983629,9420900
2010-01-15 00:00:00+00:00,18.25,18.79,18.15,18.77,10.2520962929,21476500
2010-01-19 00:00:00+00:00,18.75,18.93,18.57,18.87,10.3067158789,13518600
2010-01-20 00:00:00+00:00,18.69,19.22,18.62,19.12,10.4432648439,19232000
2010-01-21 00:00:00+00:00,19.08,19.21,18.53,18.9,10.3231017547,14618500
2010-01-22 00:00:00+00:00,18.69,18.75,18.09,18.18,9.9298407354,15366200
2010-01-25 00:00:00+00:00,18.33,18.55,18.05,18.35,10.0226940317,10782600
2010-01-26 00:00:00+00:00,18.26,19.05,18.18,19.02,10.3886452579,22434700
2010-01-27 00:00:00+00:00,18.84,19.06,18.33,18.69,10.2084006241,25500800
2010-01-28 00:00:00+00:00,18.65,18.78,18.0,18.43,10.0663897005,16059700
2010-01-29 00:00:00+00:00,18.46,19.05,18.39,18.42,10.0609277419,16339100
2010-02-01 00:00:00+00:00,18.66,19.19,18.65,19.16,10.4651126783,13116400
2010-02-02 00:00:00+00:00,19.21,19.31,18.82,19.26,10.5197322643,12607900
2010-02-03 00:00:00+00:00,18.93,19.15,18.64,18.94,10.3449495891,8913000
2010-02-04 00:00:00+00:00,18.64,18.72,18.08,18.11,9.8916070252,10470100
2010-02-05 00:00:00+00:00,18.05,18.17,17.49,18.16,9.9189168182,13516200
2010-02-08 00:00:00+00:00,18.14,18.22,17.81,17.85,9.7495961016,7159400
2010-02-09 00:00:00+00:00,18.07,18.29,17.83,18.1,9.8861450666,9645500
2010-02-10 00:00:00+00:00,18.01,18.11,17.63,18.0,9.8315254806,8711100
2010-02-11 00:00:00+00:00,18.01,18.09,17.61,18.0,9.8315254806,14182600
2010-02-12 00:00:00+00:00,17.78,17.8,17.51,17.7,9.6949765156,12805700
2010-02-16 00:00:00+00:00,17.84,18.03,17.77,17.97,9.8428659879,9928400
2010-02-17 00:00:00+00:00,18.0,18.1,17.71,17.82,9.76070517,8019200
2010-02-18 00:00:00+00:00,17.78,17.87,17.61,17.69,9.6894991278,12758800
2010-02-19 00:00:00+00:00,17.75,17.94,17.565,17.89,9.799046885,9502500
2010-02-22 00:00:00+00:00,17.99,18.0,17.7,17.78,9.7387956185,10545100
2010-02-23 00:00:00+00:00,17.71,17.78,17.28,17.48,9.5744739827,11636400
2010-02-24 00:00:00+00:00,17.49,17.79,17.29,17.6,9.640202637,9561700
2010-02-25 00:00:00+00:00,17.32,17.45,17.12,17.45,9.5580418191,10209000
2010-02-26 00:00:00+00:00,17.46,17.78,17.42,17.52,9.5963835341,7680000
2010-03-01 00:00:00+00:00,17.65,17.76,17.6,17.64,9.6621121885,6410600
2010-03-02 00:00:00+00:00,17.59,18.42,17.51,18.2,9.9688459087,14737400
2010-03-03 00:00:00+00:00,18.31,18.84,18.27,18.62,10.1988961989,12679800
2010-03-04 00:00:00+00:00,18.62,18.86,18.5,18.82,10.3084439562,9867900
2010-03-05 00:00:00+00:00,18.92,19.63,18.92,19.57,10.7192480458,15482200
2010-03-08 00:00:00+00:00,19.59,19.88,19.55,19.62,10.7466349851,8676200
2010-03-09 00:00:00+00:00,19.43,19.7,19.41,19.53,10.6973384944,8237600
2010-03-10 00:00:00+00:00,19.61,20.59,19.59,20.52,11.2395998927,18427700
2010-03-11 00:00:00+00:00,20.41,20.91,20.18,20.41,11.1793486262,13469900
2010-03-12 00:00:00+00:00,20.52,20.58,20.1101,20.44,11.1957807898,10460600
2010-03-15 00:00:00+00:00,20.36,20.42,19.92,20.36,11.1519616869,10811500
2010-03-16 00:00:00+00:00,20.42,20.6,20.26,20.56,11.2615094441,9592700
2010-03-17 00:00:00+00:00,20.63,20.97,20.55,20.66,11.3162833228,11251500
2010-03-18 00:00:00+00:00,20.67,20.84,20.35,20.55,11.2560320563,8108900
2010-03-19 00:00:00+00:00,20.6,20.66,19.959,20.31,11.1245747476,10598400
2010-03-22 00:00:00+00:00,19.79,20.38,19.65,20.29,11.1136199719,10229100
2010-03-23 00:00:00+00:00,20.3,20.36,20.1,20.3,11.1190973597,8356900
2010-03-24 00:00:00+00:00,20.11,20.76,19.96,20.69,11.3327154864,12482600
