datetime,Open,High,Low,Close,Adj Close,Volume
2010-01-04 00:00:00+00:00,68.72,69.26,68.19,69.15,37.5562586061,27809100
2010-01-05 00:00:00+00:00,69.19,69.45,68.8,69.42,37.7028990952,30174700
2010-01-06 00:00:00+00:00,69.45,70.6,69.34,70.02,38.0287668488,35044700
2010-01-07 00:00:00+00:00,69.9,70.06,69.415,69.8,37.9092820058,27192100
2010-01-08 00:00:00+00:00,69.69,69.75,69.22,69.52,37.7572103875,24891800
2010-01-11 00:00:00+00:00,69.94,70.52,69.65,70.3,38.1808384672,30685000
2010-01-12 00:00:00+00:00,69.72,69.99,69.52,69.95,37.9907489442,31496700
2010-01-13 00:00:00+00:00,69.96,70.04,69.26,69.67,37.8386773259,24884400
2010-01-14 00:00:00+00:00,69.54,69.74,69.35,69.68,37.8441084551,18630800
2010-01-15 00:00:00+00:00,69.65,69.69,68.65,69.11,37.5345340892,29411900
2010-01-19 00:00:00+00:00,68.74,69.35,68.42,69.27,37.6214321568,26081900
2010-01-20 00:00:00+00:00,68.56,68.66,67.9325,68.03,36.9479721326,34629500
2010-01-21 00:00:00+00:00,68.12,68.15,66.5,66.7,36.2256319454,39114000
2010-01-22 00:00:00+00:00,66.52,67.14,66.0,66.1,35.8997641918,39085500
2010-01-25 00:00:00+00:00,66.55,66.76,65.69,65.85,35.7639859611,29305100
2010-01-26 00:00:00+00:00,65.64,66.74,65.5,65.92,35.8020038657,34083300
2010-01-27 00:00:00+00:00,65.66,66.06,65.0,65.54,35.595620955,35723500
2010-01-28 00:00:00+00:00,65.85,65.85,64.57,64.96,35.2806154599,37349800
2010-01-29 00:00:00+00:00,65.15,65.82,64.02,64.43,34.9927656108,40880500
2010-02-01 00:00:00+00:00,65.77,66.41,65.35,66.18,35.9432132256,37703000
2010-02-02 00:00:00+00:00,66.73,67.12,66.47,66.96,36.3668413053,34057900
2010-02-03 00:00:00+00:00,66.88,67.23,66.56,66.6,36.1713206531,24024700
2010-02-04 00:00:00+00:00,66.27,66.35,64.68,64.72,35.1502683584,33858200
2010-02-05 00:00:00+00:00,64.7,64.9,63.56,64.38,34.9656099647,42297500
2010-02-08 00:00:00+00:00,64.91,65.49,64.34,64.35,35.1774240045,30519400
2010-02-09 00:00:00+00:00,65.11,65.71,64.56,65.2,35.6420830629,36243300
2010-02-10 00:00:00+00:00,65.08,65.22,64.16,64.85,35.4507528624,21699100
2010-02-11 00:00:00+00:00,64.69,65.48,64.41,65.24,35.6639493715,23555200
2010-02-12 00:00:00+00:00,64.62,65.14,64.28,64.8,35.4234199766,30636200
2010-02-16 00:00:00+00:00,65.44,66.38,65.08,66.28,36.2324733958,30514900
2010-02-17 00:00:00+00:00,66.34,66.45,65.57,65.76,35.9482113837,21821800
2010-02-18 00:00:00+00:00,65.8,66.09,65.35,65.96,36.0575429268,22536700
2010-02-19 00:00:00+00:00,65.59,66.24,65.43,65.87,36.0083437324,24264600
2010-02-22 00:00:00+00:00,66.1,66.12,65.25,65.4,35.751414606,20469700
2010-02-23 00:00:00+00:00,65.26,65.56,64.15,64.94,35.4999520568,33372900
2010-02-24 00:00:00+00:00,65.01,65.8667,64.77,65.55,35.8334132634,21469600
2010-02-25 00:00:00+00:00,64.61,65.17,64.37,65.14,35.6092835999,25668800
2010-02-26 00:00:00+00:00,65.26,65.4,64.92,65.0,35.5327515197,20129700
2010-03-01 00:00:00+00:00,65.36,65.54,65.09,65.4,35.751414606,18798600
2010-03-02 00:00:00+00:00,65.66,65.79,65.15,65.49,35.8006138004,24823900
2010-03-03 00:00:00+00:00,65.77,65.97,65.38,65.43,35.7678143375,22279800
2010-03-04 00:00:00+00:00,65.43,65.63,65.08,65.4,35.751414606,21961100
2010-03-05 00:00:00+00:00,65.96,66.52,65.78,66.47,36.3363383618,26837900
2010-03-08 00:00:00+00:00,66.77,66.79,66.23,66.48,36.341804939,20297200
2010-03-09 00:00:00+00:00,66.32,67.19,66.22,66.78,36.5058022537,29003100
2010-03-10 00:00:00+00:00,67.16,67.415,66.78,67.22,36.7463316486,24810300
2010-03-11 00:00:00+00:00,67.39,67.56,66.98,67.22,36.7463316486,19357400
2010-03-12 00:00:00+00:00,67.58,67.58,66.5,66.8,36.516735408,23361800
2010-03-15 00:00:00+00:00,66.67,66.69,65.9,66.3,36.2434065501,22070000
2010-03-16 00:00:00+00:00,66.55,66.68,66.0,66.57,36.3910041334,35103700
2010-03-17 00:00:00+00:00,66.91,67.79,66.8,67.36,36.8228637288,38770000
2010-03-18 00:00:00+00:00,67.5,67.74,67.01,67.39,36.8392634602,25925500
2010-03-19 00:00:00+00:00,67.84,67.89,66.43,67.04,36.6479332598,45564200
2010-03-22 00:00:00+00:00,66.49,67.2,66.32,66.97,36.6096672197,21390600
2010-03-23 00:00:00+00:00,66.94,66.98,66.45,66.95,36.5987340653,24754700
2010-03-24 00:00:00+00:00,66.57,66.86,66.23,66.5,36.3527380933,19748800
2010-03-25 00:00:00+00:00,66.81,66.92,66.24,66.3,36.2434065501,21095600
2010-03-26 00:00:00+00:00,66.44,66.88,66.17,66.54,36.3746044019,30553400
2010-03-29 00:00:00+00:00,66.66,67.48,66.59,67.3,36.7900642658,26122200
2010-03-30 00:00:00+00:00,67.19,67.3,66.79,67.05,36.6533998369,17745900
2010-03-31 00:00:00+00:00,66.94,67.19,66.6,66.98,36.6151337968,22352500
2010-04-01 00:00:00+00:00,67.27,67.8,67.19,67.61,36.9595281577,19614700
2010-04-05 00:00:00+00:00,67.84,68.36,67.72,68.19,37.2765896328,20901100
2010-04-06 00:00:00+00:00,67.99,68.35,67.8,67.9,37.1180588952,19776800
2010-04-07 00:00:00+00:00,67.83,67.85,66.97,67.34,36.8119305745,24531500
2010-04-08 00:00:00+00:00,67.01,68.225,66.85,67.86,37.0961925866,24060800
2010-04-09 00:00:00+00:00,68.11,68.98,68.07,68.76,37.5881845307,21099600
2010-04-12 00:00:00+00:00,68.8,69.05,68.58,68.71,37.560851645,18170300
2010-04-13 00:00:00+00:00,68.47,68.76,68.07,68.66,37.5335187592,19177100
2010-04-14 00:00:00+00:00,68.72,68.82,68.36,68.61,37.5061858734,18777800
2010-04-15 00:00:00+00:00,68.5,68.72,68.15,68.26,37.3148556729,16712900
2010-04-16 00:00:00+00:00,68.12,68.7,67.71,67.93,37.1344586267,33855100
2010-04-19 00:00:00+00:00,67.75,68.44,67.57,68.23,37.2984559414,25686000
2010-04-20 00:00:00+00:00,68.62,69.22,68.5,68.97,37.702982651,22989500
2010-04-21 00:00:00+00:00,69.0,69.43,68.57,68.92,37.6756497652,21119200
2010-04-22 00:00:00+00:00,68.52,68.73,68.22,68.56,37.4788529876,21654700
2010-04-23 00:00:00+00:00,68.5,69.27,68.18,69.24,37.8505802343,24340000
2010-04-26 00:00:00+00:00,69.03,69.53,68.93,69.29,37.8779131201,18237100
2010-04-27 00:00:00+00:00,69.01,70.0,68.2,68.27,37.32032225,36374700
2010-04-28 00:00:00+00:00,68.87,69.54,68.61,69.19,37.8232473485,33243500
2010-04-29 00:00:00+00:00,68.45,69.66,68.24,68.66,37.5335187592,47200900
2010-04-30 00:00:00+00:00,68.9,69.31,67.73,67.77,37.0469933922,43762100
