Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,2110.0,2135.0,2110.0,2119.0,1405.1121826171875,683200
2010-01-05,2140.0,2152.0,2111.0,2123.0,1407.7645263671875,1800200
2010-01-06,2123.0,2123.0,2123.0,2123.0,1407.7645263671875,1571400
2010-01-07,2121.0,2130.0,2108.0,2121.0,1406.438232421875,2074900
2010-01-08,2115.0,2139.0,2115.0,2131.0,1413.0692138671875,1499900
2010-01-12,2131.0,2147.0,2131.0,2137.0,1417.0477294921875,1283500
2010-01-13,2138.0,2155.0,2123.0,2130.0,1412.4063720703125,1843000
2010-01-14,2124.0,2139.0,2119.0,2139.0,1418.3739013671875,1246900
2010-01-15,2125.0,2140.0,2121.0,2128.0,1411.080078125,1959200
2010-01-18,2128.0,2135.0,2114.0,2125.0,1409.0908203125,1442200
2010-01-19,2124.0,2134.0,2120.0,2134.0,1415.0587158203125,1028600
2010-01-20,2130.0,2134.0,2126.0,2132.0,1413.732666015625,1353900
2010-01-21,2132.0,2143.0,2123.0,2136.0,1416.3848876953125,1738300
2010-01-22,2126.0,2135.0,2101.0,2121.0,1406.438232421875,2191100
2010-01-25,2110.0,2136.0,2110.0,2115.0,1402.459716796875,1550300
2010-01-26,2110.0,2124.0,2090.0,2090.0,1385.882080078125,1848700
2010-01-27,2087.0,2124.0,2085.0,2088.0,1384.5560302734375,1860800
2010-01-28,2090.0,2100.0,2066.0,2072.0,1373.9462890625,2316000
2010-01-29,2065.0,2074.0,2055.0,2059.0,1365.325927734375,1891400
2010-02-01,2050.0,2080.0,2023.0,2070.0,1372.619873046875,2203200
2010-02-02,2050.0,2062.0,2025.0,2061.0,1366.6519775390625,1819300
2010-02-03,2062.0,2095.0,2061.0,2075.0,1375.935791015625,1298100
2010-02-04,2087.0,2114.0,2085.0,2105.0,1395.82861328125,1438600
2010-02-05,2112.0,2123.0,2082.0,2090.0,1385.882080078125,1782200
2010-02-08,2104.0,2112.0,2091.0,2101.0,1393.17626953125,1229700
2010-02-09,2079.0,2108.0,2070.0,2075.0,1375.935791015625,1686000
2010-02-10,2068.0,2087.0,2050.0,2080.0,1379.2513427734375,1871700
2010-02-12,2089.0,2105.0,2084.0,2091.0,1386.54541015625,1492000
2010-02-15,2083.0,2103.0,2067.0,2082.0,1380.577392578125,1055400
2010-02-16,2085.0,2097.0,2078.0,2085.0,1382.5667724609375,1341500
2010-02-17,2099.0,2111.0,2079.0,2088.0,1384.5560302734375,2115400
2010-02-18,2071.0,2083.0,2060.0,2070.0,1372.619873046875,2132500
