ticker,available,start_date,end_date,history_ok,n_rows,error
SO,True,2010-01-04,2026-05-12,True,4114,
AEP,True,2010-01-04,2026-05-12,True,4114,
D,True,2010-01-04,2026-05-12,True,4114,
EXC,True,2010-01-04,2026-05-12,True,4114,
PCG,True,2010-01-04,2026-05-12,True,4114,
PEG,True,2010-01-04,2026-05-12,True,4114,
ED,True,2010-01-04,2026-05-12,True,4114,
ETR,True,2010-01-04,2026-05-12,True,4114,
EIX,True,2010-01-04,2026-05-12,True,4114,
AEE,True,2010-01-04,2026-05-12,True,4114,
WEC,True,2010-01-04,2026-05-12,True,4114,
DTE,True,2010-01-04,2026-05-12,True,4114,
ES,True,2010-01-04,2026-05-12,True,4114,
FE,True,2010-01-04,2026-05-12,True,4114,
PNW,True,2010-01-04,2026-05-12,True,4114,
AES,True,2010-01-04,2026-05-12,True,4114,
LNT,True,2010-01-04,2026-05-12,True,4114,
NI,True,2010-01-04,2026-05-12,True,4114,
CNP,True,2010-01-04,2026-05-12,True,4114,
IMO.TO,True,2010-01-04,2026-05-12,True,4105,
CVE.TO,True,2010-01-04,2026-05-12,True,4105,
CPG.TO,False,,,False,0,no_data
BTE.TO,True,2010-01-04,2026-05-12,True,4105,
IBE.MC,True,2010-01-04,2026-05-13,True,4184,
ENGI.PA,True,2010-01-04,2026-05-13,True,4185,
ENEL.MI,True,2010-01-04,2026-05-13,True,4155,
EDP.LS,True,2010-01-04,2026-05-13,True,4187,
VWS.CO,True,2010-01-04,2026-05-13,True,4087,
9531.T,True,2010-01-04,2026-05-13,True,4019,
9501.T,True,2010-01-04,2026-05-13,True,4019,
9503.T,True,2010-01-04,2026-05-13,True,4019,
9532.T,True,2010-01-04,2026-05-13,True,4019,
BPCL.NS,True,2010-01-04,2026-05-13,True,4038,
IOC.NS,True,2010-01-04,2026-05-13,True,4038,
ONGC.NS,True,2010-01-04,2026-05-13,True,4038,
0002.HK,True,2010-01-04,2026-05-13,True,4029,
0006.HK,True,2010-01-04,2026-05-13,True,4029,
CSIQ,True,2010-01-04,2026-05-12,True,4114,
SPWR,True,2023-01-03,2026-05-12,False,842,
JKS,True,2010-05-14,2026-05-12,False,4023,
DQ,True,2010-10-07,2026-05-12,False,3922,
NXE,True,2013-08-14,2026-05-12,False,3205,
DNN,True,2010-01-04,2026-05-12,True,4114,
UEC,True,2010-01-04,2026-05-12,True,4114,
CQP,True,2010-01-04,2026-05-12,True,4114,
NFG,True,2010-01-04,2026-05-12,True,4114,
NEP,False,,,False,0,no_data
AY,False,,,False,0,no_data
HASI,True,2013-04-18,2026-05-12,False,3287,
