ticker,available,start_date,end_date,history_ok,n_rows,error
XOM,True,2010-01-04,2026-05-12,True,4114,
CVX,True,2010-01-04,2026-05-12,True,4114,
SHEL,True,2010-01-04,2026-05-12,True,4114,
TTE,True,2010-01-04,2026-05-12,True,4114,
BP,True,2010-01-04,2026-05-12,True,4114,
RELIANCE,False,,,False,0,no_data
PBR,True,2010-01-04,2026-05-12,True,4114,
E,True,2010-01-04,2026-05-12,True,4114,
EQNR,True,2010-01-04,2026-05-12,True,4114,
REP.MC,True,2010-01-04,2026-05-12,True,4183,
GALP.LS,True,2010-01-04,2026-05-12,True,4186,
OMV.VI,True,2010-01-04,2026-05-12,True,4095,
2222.SR,True,2019-12-11,2026-05-12,False,1602,
SU,True,2010-01-04,2026-05-12,True,4114,
PTR,False,,,False,0,no_data
COP,True,2010-01-04,2026-05-12,True,4114,
EOG,True,2010-01-04,2026-05-12,True,4114,
CNQ,True,2010-01-04,2026-05-12,True,4114,
OXY,True,2010-01-04,2026-05-12,True,4114,
HES,False,,,False,0,no_data
WDS,True,2010-01-04,2026-05-12,True,4114,
DVN,True,2010-01-04,2026-05-12,True,4114,
FANG,True,2012-10-12,2026-05-12,False,3413,
CTRA,True,2010-01-04,2026-05-07,True,4111,
APA,True,2010-01-04,2026-05-12,True,4114,
MRO,False,,,False,0,no_data
OVV,True,2010-01-04,2026-05-12,True,4114,
STO.AX,True,2010-01-04,2026-05-13,True,4136,
1605.T,True,2010-01-04,2026-05-13,True,4019,
EQT,True,2010-01-04,2026-05-12,True,4114,
CHK,False,,,False,0,no_data
AR,True,2013-10-10,2026-05-12,False,3165,
RRC,True,2010-01-04,2026-05-12,True,4114,
SWN,False,,,False,0,no_data
MUR,True,2010-01-04,2026-05-12,True,4114,
KOS,True,2011-05-11,2026-05-12,False,3773,
HBR.L,True,2021-04-01,2026-05-12,False,1288,
AKRBP.OL,True,2010-01-04,2026-05-12,True,4106,
TOU.TO,True,2010-11-23,2026-05-12,False,3881,
ARX.TO,True,2010-01-04,2026-05-12,True,4105,
SLB,True,2010-01-04,2026-05-12,True,4114,
HAL,True,2010-01-04,2026-05-12,True,4114,
BKR,True,2010-01-04,2026-05-12,True,4114,
NOV,True,2010-01-04,2026-05-12,True,4114,
FTI,True,2010-01-04,2026-05-12,True,4114,
TS,True,2010-01-04,2026-05-12,True,4114,
CHX,False,,,False,0,no_data
WFRD,True,2021-01-04,2026-05-12,False,1345,
VAL,True,2021-05-03,2026-05-12,False,1263,
RIG,True,2010-01-04,2026-05-12,True,4114,
NE,True,2021-06-09,2026-05-12,False,1237,
PTEN,True,2010-01-04,2026-05-12,True,4114,
HP,True,2010-01-04,2026-05-12,True,4114,
TDW,True,2010-01-04,2026-05-12,True,4114,
SPM.MI,True,2010-01-04,2026-05-12,True,4154,
ENB,True,2010-01-04,2026-05-12,True,4114,
EPD,True,2010-01-04,2026-05-12,True,4114,
KMI,True,2011-02-11,2026-05-12,False,3834,
TRP,True,2010-01-04,2026-05-12,True,4114,
WMB,True,2010-01-04,2026-05-12,True,4114,
OKE,True,2010-01-04,2026-05-12,True,4114,
TRGP,True,2010-12-07,2026-05-12,False,3880,
LNG,True,2010-01-04,2026-05-12,True,4114,
MPLX,True,2012-10-26,2026-05-12,False,3403,
ET,True,2010-01-04,2026-05-12,True,4114,
PPL.TO,True,2010-01-04,2026-05-12,True,4105,
KEY.TO,True,2010-01-04,2026-05-12,True,4105,
GEI.TO,True,2012-01-24,2026-05-12,False,3589,
PAA,True,2010-01-04,2026-05-12,True,4114,
DTM,True,2021-07-01,2026-05-12,False,1221,
MPC,True,2011-06-24,2026-05-12,False,3742,
VLO,True,2010-01-04,2026-05-12,True,4114,
PSX,True,2012-04-12,2026-05-12,False,3541,
DINO,True,2010-01-04,2026-05-12,True,4114,
PBF,True,2012-12-13,2026-05-12,False,3372,
DK,True,2010-01-04,2026-05-12,True,4114,
NESTE.HE,True,2010-01-04,2026-05-12,True,4110,
SRS.MI,False,,,False,0,no_data
5019.T,True,2010-01-04,2026-05-13,True,4019,
0883.HK,True,2010-01-04,2026-05-13,True,4029,
0386.HK,True,2010-01-04,2026-05-13,True,4029,
EC,True,2010-01-04,2026-05-12,True,4114,
SSL,True,2010-01-04,2026-05-12,True,4114,
PTT.BK,True,2010-01-04,2026-05-13,True,3983,
MOL.BUD,False,,,False,0,no_data
PKN.WA,True,2010-01-01,2026-05-12,True,4191,
0857.HK,True,2010-01-04,2026-05-13,True,4029,
6505.TW,True,2010-01-04,2026-05-13,True,3996,
VET,True,2010-09-14,2026-05-12,False,3939,
MTDR,True,2012-02-02,2026-05-12,False,3589,
PDCE,False,,,False,0,no_data
WLL,False,,,False,0,no_data
SM,True,2010-01-04,2026-05-12,True,4114,
XEC,False,,,False,0,no_data
CRC,True,2020-10-28,2026-05-12,False,1390,
CDEV,False,,,False,0,no_data
LPI,False,,,False,0,no_data
TALO,True,2018-05-10,2026-05-12,False,2012,
ESTE,False,,,False,0,no_data
REI,True,2010-01-04,2026-05-12,True,4114,
